born,arm,step,total,win_pct,n
7.5,5.0,10.0,49.88,24.3,115
7.5,3.0,7.5,47.18,26.1,115
7.5,4.0,2.0,43.73,38.3,115
10.0,2.0,5.0,39.9,30.4,115
7.5,7.5,2.0,37.82,32.2,115
7.5,6.0,3.0,30.64,33.0,115
7.5,4.0,3.0,30.11,33.0,115
9.0,2.0,4.0,23.91,33.9,115
7.5,2.0,3.0,23.83,37.4,115
9.0,4.0,7.5,21.26,27.0,115
9.0,4.0,10.0,21.14,25.2,115
7.5,6.0,4.0,19.36,29.6,115
7.5,5.0,7.5,19.23,26.1,115
7.5,6.0,2.0,17.94,34.8,115
9.0,2.0,7.5,14.7,26.1,115
7.5,6.0,5.0,14.63,29.6,115
10.0,4.0,5.0,11.55,32.2,115
10.0,4.0,4.0,10.78,33.9,115
9.0,7.5,4.0,8.2,30.4,115
10.0,2.0,10.0,7.7,23.5,115
10.0,5.0,10.0,7.3,27.0,115
7.5,7.5,4.0,-6.02,28.7,115
9.0,3.0,7.5,-7.67,27.0,115
10.0,6.0,3.0,-11.65,35.7,115
7.5,3.0,2.0,-12.44,40.0,115
9.0,7.5,3.0,-19.96,33.0,115
10.0,6.0,2.0,-19.98,37.4,115
10.0,5.0,7.5,-20.12,28.7,115
9.0,4.0,3.0,-23.76,33.9,115
10.0,6.0,4.0,-27.3,32.2,115
10.0,7.5,2.0,-31.86,34.8,115
10.0,6.0,5.0,-32.25,32.2,115
12.5,3.0,5.0,-33.3,32.2,115
7.5,7.5,3.0,-40.31,31.3,115
9.0,3.0,3.0,-41.49,36.5,115
10.0,2.0,4.0,-41.76,34.8,115
9.0,2.0,2.0,-42.55,41.7,115
12.5,5.0,2.0,-43.89,39.1,115
10.0,2.0,7.5,-46.35,27.0,115
9.0,6.0,7.5,-47.22,26.1,115
9.0,6.0,10.0,-47.3,24.3,115
10.0,4.0,10.0,-51.9,26.1,115
10.0,4.0,7.5,-55.62,27.8,115
9.0,7.5,5.0,-55.85,29.6,115
12.5,5.0,4.0,-59.27,35.7,115
15.0,5.0,2.0,-60.67,41.7,115
9.0,7.5,7.5,-62.0,27.0,115
7.5,7.5,5.0,-63.47,27.8,115
7.5,6.0,10.0,-66.62,22.6,115
9.0,10.0,2.0,-71.88,33.0,115
9.0,4.0,2.0,-72.4,39.1,115
15.0,3.0,5.0,-72.9,33.9,115
7.5,6.0,7.5,-73.62,24.3,115
12.5,3.0,4.0,-74.27,33.0,115
9.0,10.0,3.0,-77.58,32.2,115
12.5,5.0,3.0,-77.82,38.3,115
10.0,3.0,7.5,-82.37,27.8,115
9.0,2.0,3.0,-83.03,38.3,115
10.0,7.5,4.0,-85.38,31.3,115
15.0,5.0,4.0,-90.79,38.3,115
10.0,4.0,3.0,-93.72,34.8,115
15.0,5.0,3.0,-96.35,40.9,115
15.0,3.0,4.0,-109.11,34.8,115
10.0,3.0,3.0,-109.27,37.4,115
10.0,2.0,2.0,-111.3,42.6,115
9.0,10.0,4.0,-111.32,30.4,115
10.0,7.5,3.0,-112.0,33.9,115
9.0,7.5,10.0,-114.9,23.5,115
12.5,2.0,5.0,-118.87,31.3,115
7.5,7.5,10.0,-122.52,21.7,115
9.0,10.0,5.0,-123.94,29.6,115
7.5,7.5,7.5,-125.02,25.2,115
9.0,3.0,2.0,-125.3,40.9,115
9.0,10.0,10.0,-127.54,25.2,115
10.0,6.0,10.0,-130.0,25.2,115
12.5,3.0,10.0,-130.75,25.2,115
10.0,6.0,7.5,-133.77,27.0,115
12.5,5.0,5.0,-137.75,33.0,115
15.0,2.0,5.0,-142.35,33.0,115
10.0,4.0,2.0,-142.36,40.0,115
7.5,10.0,3.0,-143.45,29.6,115
7.5,10.0,2.0,-145.41,30.4,115
10.0,7.5,5.0,-146.35,30.4,115
9.0,10.0,7.5,-146.94,26.1,115
10.0,2.0,3.0,-148.7,39.1,115
10.0,7.5,7.5,-156.35,27.8,115
12.5,4.0,4.0,-162.32,35.7,115
15.0,5.0,5.0,-168.9,34.8,115
10.0,10.0,2.0,-177.8,33.9,115
12.5,2.0,10.0,-179.07,23.5,115
7.5,10.0,4.0,-182.73,27.8,115
10.0,10.0,3.0,-183.5,33.0,115
12.5,4.0,5.0,-183.95,33.0,115
15.0,3.0,10.0,-189.95,25.2,115
7.5,10.0,5.0,-190.87,27.0,115
12.5,5.0,10.0,-191.55,27.8,115
7.5,10.0,10.0,-194.47,22.6,115
10.0,3.0,2.0,-196.16,41.7,115
15.0,4.0,4.0,-202.61,37.4,115
10.0,7.5,10.0,-205.4,24.3,115
12.5,2.0,4.0,-206.13,35.7,115
7.5,10.0,7.5,-211.22,23.5,115
15.0,2.0,10.0,-211.3,24.3,115
12.5,5.0,7.5,-218.98,29.6,115
10.0,10.0,4.0,-220.32,31.3,115
12.5,6.0,2.0,-228.43,39.1,115
15.0,4.0,5.0,-229.0,34.8,115
12.5,6.0,3.0,-231.3,36.5,115
10.0,10.0,5.0,-231.4,30.4,115
15.0,5.0,7.5,-231.7,31.3,115
12.5,2.0,7.5,-233.13,27.0,115
15.0,2.0,4.0,-235.7,37.4,115
10.0,10.0,10.0,-242.7,25.2,115
12.5,6.0,4.0,-246.95,33.0,115
12.5,4.0,10.0,-247.4,27.0,115
10.0,10.0,7.5,-250.55,27.0,115
12.5,4.0,7.5,-251.13,28.7,115
12.5,6.0,5.0,-251.9,33.0,115
15.0,2.0,7.5,-257.65,28.7,115
15.0,5.0,10.0,-259.55,27.8,115
12.5,2.0,2.0,-264.47,43.5,115
12.5,7.5,2.0,-271.01,35.7,115
12.5,4.0,3.0,-272.42,36.5,115
15.0,2.0,2.0,-274.3,47.0,115
12.5,3.0,7.5,-274.43,27.8,115
15.0,6.0,2.0,-274.98,42.6,115
15.0,6.0,3.0,-276.78,39.1,115
12.5,3.0,3.0,-284.52,38.3,115
15.0,4.0,7.5,-299.5,29.6,115
12.5,2.0,3.0,-301.87,40.0,115
