bucket,born,arm,total,win_pct,n
exp    >=$2.00,20.0,3.0,-749.33,36.4,44
exp    >=$2.00,12.5,12.5,-750.88,18.2,44
exp    >=$2.00,12.5,20.0,-768.63,22.7,44
exp    >=$2.00,25.0,10.0,-791.95,38.6,44
exp    >=$2.00,25.0,7.5,-804.98,31.8,44
exp    >=$2.00,25.0,25.0,-890.75,34.1,44
exp    >=$2.00,15.0,15.0,-901.55,22.7,44
exp    >=$2.00,15.0,12.5,-954.05,18.2,44
exp    >=$2.00,25.0,3.0,-962.46,38.6,44
exp    >=$2.00,15.0,20.0,-996.95,22.7,44
exp    >=$2.00,20.0,10.0,-1031.9,31.8,44
exp    >=$2.00,25.0,20.0,-1103.45,29.5,44
exp    >=$2.00,20.0,25.0,-1112.75,29.5,44
exp    >=$2.00,20.0,15.0,-1132.0,22.7,44
exp    >=$2.00,20.0,12.5,-1261.25,20.5,44
exp    >=$2.00,20.0,20.0,-1387.2,22.7,44
mid    $1-1.99,5.0,3.0,52.9,33.3,21
mid    $1-1.99,5.0,10.0,45.95,28.6,21
mid    $1-1.99,5.0,12.5,33.45,28.6,21
mid    $1-1.99,5.0,7.5,26.05,28.6,21
mid    $1-1.99,5.0,5.0,25.55,28.6,21
mid    $1-1.99,5.0,15.0,20.95,19.0,21
mid    $1-1.99,7.5,3.0,13.13,33.3,21
mid    $1-1.99,5.0,20.0,-1.05,19.0,21
mid    $1-1.99,7.5,10.0,-3.07,28.6,21
mid    $1-1.99,20.0,3.0,-9.37,47.6,21
mid    $1-1.99,10.0,3.0,-11.57,38.1,21
mid    $1-1.99,7.5,12.5,-15.57,28.6,21
mid    $1-1.99,7.5,7.5,-20.43,28.6,21
mid    $1-1.99,7.5,5.0,-20.92,28.6,21
mid    $1-1.99,10.0,10.0,-24.3,33.3,21
mid    $1-1.99,7.5,15.0,-28.07,19.0,21
mid    $1-1.99,10.0,12.5,-36.8,33.3,21
mid    $1-1.99,5.0,25.0,-39.05,14.3,21
mid    $1-1.99,12.5,3.0,-40.82,38.1,21
mid    $1-1.99,25.0,3.0,-41.17,47.6,21
mid    $1-1.99,10.0,5.0,-50.0,33.3,21
mid    $1-1.99,7.5,20.0,-50.08,19.0,21
mid    $1-1.99,20.0,10.0,-52.8,38.1,21
mid    $1-1.99,10.0,7.5,-55.3,28.6,21
mid    $1-1.99,12.5,10.0,-60.25,33.3,21
mid    $1-1.99,10.0,15.0,-60.9,23.8,21
mid    $1-1.99,15.0,3.0,-70.37,38.1,21
mid    $1-1.99,20.0,7.5,-71.43,38.1,21
mid    $1-1.99,12.5,12.5,-72.75,33.3,21
mid    $1-1.99,20.0,5.0,-78.5,38.1,21
mid    $1-1.99,10.0,20.0,-82.9,23.8,21
mid    $1-1.99,12.5,5.0,-85.95,33.3,21
mid    $1-1.99,7.5,25.0,-88.07,14.3,21
