date,nlv,day_pl,bp,read_at,fut_nlv,fut_pl,fut_fees,flow,fut_flow
2026-09-14,1279.86,-333.85,1279.86,2026-09-14T23:25:00-04:00,,,,,
2026-09-15,1404.22,,,2026-09-15T16:40:34-04:00,,,,,
2026-09-16,938.81,34.59,938.81,2026-09-16T22:59:40-04:00,389.26,-111.56,39.16,-500.00,
2026-09-17,1165.93,227.10,1165.93,2026-09-17T16:40:20-04:00,256.64,0.00,0.00,0.02,-132.62
