ts,o,h,l,c
1786627800,304.1800,304.2200,303.8300,303.8300
1786627801,303.8300,304.0000,303.2000,303.2000
1786627802,303.2100,303.5900,302.7500,302.7700
1786627803,302.7800,303.1700,302.7400,303.1100
1786627804,303.1000,303.2400,302.7600,302.7850
1786627805,302.8800,302.9700,302.7900,302.8400
1786627806,302.9000,302.9500,302.4700,302.5100
1786627807,302.4700,302.8100,302.4700,302.6900
1786627808,302.6100,302.6100,302.4000,302.4200
1786627809,302.4200,302.4200,302.1800,302.1800
1786627810,302.2200,302.2500,302.1000,302.1400
1786627811,302.1150,302.3300,302.0500,302.3100
1786627812,302.2400,302.3100,302.2400,302.3100
1786627813,302.3800,302.3800,302.3800,302.3800
1786627814,302.3750,302.8700,302.3750,302.6050
1786627815,302.6550,302.6550,302.6550,302.6550
1786627816,302.5500,302.6150,302.5400,302.6150
1786627817,302.5600,302.8100,302.3100,302.7800
1786627818,302.7000,302.7000,302.7000,302.7000
1786627819,302.5800,302.6700,302.5700,302.6600
1786627820,302.7200,302.9700,302.7200,302.9700
1786627821,302.9700,302.9700,302.9100,302.9100
1786627823,302.9000,303.1100,302.8300,303.1100
1786627824,303.1200,303.2200,303.0600,303.0700
1786627825,303.0700,303.0800,303.0200,303.0200
1786627827,302.9650,303.2300,302.9200,303.2300
1786627828,303.2100,303.2200,303.0400,303.2200
1786627829,303.1700,303.2000,303.1400,303.2000
1786627832,303.3400,303.3800,303.3400,303.3400
1786627836,303.3600,303.3600,303.3600,303.3600
1786627838,303.3350,303.3350,303.3350,303.3350
1786627839,303.3500,303.3500,303.1200,303.2400
1786627840,303.3300,303.3700,303.3300,303.3700
1786627841,303.4700,303.5500,303.4700,303.5500
1786627842,303.6300,303.6400,303.6000,303.6000
1786627843,303.7200,303.7500,303.7200,303.7500
1786627844,303.7600,303.7600,303.6700,303.6700
1786627845,303.7000,303.7500,303.7000,303.7500
1786627846,303.7700,303.7700,303.7650,303.7650
1786627847,303.7900,303.7900,303.7900,303.7900
1786627848,303.7800,303.7850,303.7600,303.7600
1786627849,303.7800,303.7800,303.7000,303.7300
1786627850,303.7500,303.7500,303.7500,303.7500
1786627851,303.7200,303.7200,303.6300,303.6700
1786627852,303.5800,303.5800,303.4800,303.4800
1786627853,303.4850,303.4850,303.3700,303.4700
1786627854,303.5150,303.5150,303.4100,303.4100
1786627855,303.3900,303.3900,303.1500,303.1500
1786627856,303.0900,303.0900,302.9000,302.9000
1786627857,302.7800,302.7800,302.7500,302.7600
1786627858,302.7000,302.7000,302.5900,302.5900
1786627859,302.5600,302.6500,302.5300,302.5300
1786627860,302.5600,302.6900,302.5600,302.6800
1786627861,302.6500,302.8000,302.6000,302.7400
1786627863,302.8000,302.9500,302.8000,302.9200
1786627865,302.9800,303.1000,302.9800,303.1000
1786627866,303.0900,303.0900,303.0900,303.0900
1786627867,303.0300,303.1000,303.0300,303.1000
1786627868,303.0900,303.1400,303.0400,303.1100
1786627869,303.1250,303.1250,303.1250,303.1250
1786627870,303.0900,303.0900,303.0000,303.0000
1786627871,302.9900,302.9900,302.9400,302.9400
1786627873,302.9100,302.9100,302.8000,302.8000
1786627874,302.8100,302.8100,302.7300,302.7500
1786627875,302.7300,302.7300,302.6600,302.6600
1786627876,302.6850,302.6850,302.6400,302.6400
1786627877,302.6850,302.8400,302.6850,302.7900
1786627878,302.8200,302.8200,302.7800,302.7800
1786627879,302.7300,302.8400,302.7200,302.8400
1786627880,302.8700,302.8900,302.8450,302.8900
1786627882,302.8000,302.8600,302.8000,302.8600
1786627883,302.8300,302.8300,302.8300,302.8300
1786627884,302.8200,302.8500,302.7800,302.7800
1786627885,302.8350,302.8350,302.8350,302.8350
1786627886,302.8400,302.8700,302.8300,302.8300
1786627887,302.8300,302.8300,302.8300,302.8300
1786627888,302.8000,302.8000,302.8000,302.8000
1786627889,302.7800,302.8400,302.7800,302.8250
1786627890,302.8650,302.8650,302.7900,302.7900
1786627891,302.8200,302.8200,302.8200,302.8200
1786627892,302.8100,302.8500,302.3500,302.3900
1786627893,302.4300,302.5000,302.4000,302.4400
1786627894,302.5100,302.5100,302.5000,302.5000
1786627895,302.5200,302.5700,302.4900,302.5100
1786627896,302.5400,302.6200,302.5400,302.6200
1786627897,302.6500,302.7100,302.6500,302.7100
1786627898,302.6800,302.6800,302.6750,302.6750
1786627900,302.7500,302.8100,302.7000,302.8100
1786627901,302.8900,302.9800,302.8900,302.9800
1786627902,302.8900,302.8900,302.8700,302.8700
1786627903,302.8400,302.8500,302.8400,302.8500
1786627904,302.8500,302.9000,302.8500,302.8800
1786627905,302.9000,302.9000,302.9000,302.9000
1786627906,302.9000,303.0300,302.9000,303.0300
1786627907,303.0700,303.1600,303.0700,303.0750
1786627908,303.0900,303.1850,303.0900,303.1850
1786627909,303.1700,303.2500,303.1700,303.2500
1786627910,303.2500,303.2900,303.1700,303.2200
1786627911,303.1800,303.1900,303.1150,303.1700
1786627913,303.1150,303.1150,303.0200,303.0200
1786627914,303.0000,303.0000,302.9500,302.9900
1786627915,303.0200,303.0200,303.0200,303.0200
1786627916,303.0200,303.0200,302.9900,302.9900
1786627917,303.0400,303.0600,303.0200,303.0600
1786627918,303.0350,303.0350,303.0000,303.0000
1786627919,303.0700,303.0900,303.0700,303.0900
1786627920,303.0350,303.0800,303.0350,303.0500
1786627921,303.1000,303.1300,303.0800,303.0800
1786627922,303.0800,303.0800,303.0000,303.0200
1786627923,303.0700,303.0700,303.0700,303.0700
1786627924,303.0700,303.1200,303.0700,303.1200
1786627925,303.1300,303.1300,303.0800,303.1100
1786627926,303.1000,303.1000,303.0700,303.0900
1786627927,303.1100,303.1100,303.0700,303.0700
1786627928,303.0100,303.0300,302.9800,302.9900
1786627929,303.0100,303.0100,302.9550,302.9550
1786627930,302.9850,303.0100,302.9400,303.0100
1786627931,302.9800,302.9800,302.9800,302.9800
1786627932,302.9100,302.9100,302.8700,302.8850
1786627933,302.9100,302.9100,302.9100,302.9100
1786627934,302.9900,302.9900,302.9600,302.9900
1786627935,302.9600,303.0100,302.9600,303.0000
1786627936,302.9600,302.9800,302.9300,302.9600
1786627937,302.9750,303.0100,302.9600,302.9600
1786627938,302.9200,302.9200,302.9200,302.9200
1786627939,302.9300,302.9300,302.9300,302.9300
1786627940,302.9200,302.9200,302.9000,302.9000
1786627941,302.8900,302.9300,302.8800,302.9000
1786627942,302.8600,302.9350,302.8600,302.9350
1786627943,302.8600,302.8600,302.8600,302.8600
1786627944,302.9300,303.0800,302.9300,303.0800
1786627945,303.0400,303.1050,303.0400,303.1050
1786627946,303.1400,303.1400,303.1200,303.1200
1786627947,303.1000,303.1000,303.1000,303.1000
1786627948,303.1200,303.1500,302.9600,302.9600
1786627949,302.9800,302.9800,302.9800,302.9800
1786627950,302.9500,302.9800,302.9500,302.9800
1786627951,302.9900,303.0000,302.9800,302.9800
1786627952,303.0000,303.0000,302.9500,302.9500
1786627953,302.9550,303.0100,302.9550,303.0100
1786627954,303.0300,303.1000,303.0300,303.0500
1786627955,303.0700,303.1400,303.0700,303.1400
1786627956,303.1100,303.1100,303.0000,303.1000
1786627957,303.1100,303.1100,303.0800,303.0800
1786627958,303.0700,303.1200,303.0700,303.1200
1786627959,303.1700,303.1700,303.1400,303.1400
1786627960,303.1150,303.1150,303.1150,303.1150
1786627961,303.0900,303.1300,303.0900,303.1100
1786627962,303.1500,303.1500,303.1500,303.1500
1786627963,303.1500,303.1500,303.1300,303.1300
1786627964,303.1150,303.1400,303.0900,303.1050
1786627965,303.0300,303.0300,302.9500,303.0100
1786627966,302.9750,302.9750,302.9600,302.9600
1786627967,302.9600,302.9900,302.9200,302.9800
1786627968,302.9900,302.9900,302.9900,302.9900
1786627969,302.9850,303.0050,302.9300,302.9300
1786627970,303.0000,303.0000,302.9700,302.9800
1786627971,302.9600,302.9600,302.9600,302.9600
1786627972,303.0100,303.0200,303.0000,303.0000
1786627973,303.0200,303.0400,303.0200,303.0400
1786627974,303.0200,303.0200,302.9600,303.0100
1786627975,303.0200,303.0200,303.0100,303.0100
1786627976,303.0200,303.0200,303.0200,303.0200
1786627977,303.0400,303.0400,303.0000,303.0000
1786627978,303.0000,303.0000,302.9600,302.9900
1786627979,303.0200,303.0200,302.9900,302.9900
1786627980,302.9900,302.9900,302.9900,302.9900
1786627981,303.0200,303.0200,302.9400,302.9400
1786627982,302.9800,303.0200,302.9300,302.9300
1786627983,302.9800,303.0200,302.9800,303.0000
1786627984,302.9950,302.9950,302.9650,302.9650
1786627985,302.9650,302.9900,302.8900,302.8900
