ts,o,h,l,c
1787319000,312.0200,312.0200,311.0300,311.4200
1787319001,311.4200,312.1500,311.0200,311.1300
1787319002,311.2200,311.5900,311.1500,311.4400
1787319003,311.4400,311.5400,311.3300,311.4800
1787319004,311.4500,311.7300,311.3400,311.6200
1787319005,311.6100,311.9100,311.6100,311.9100
1787319006,311.8800,311.8800,311.3400,311.3400
1787319007,311.3400,311.5000,311.1100,311.4300
1787319008,311.4000,311.5800,311.3500,311.5000
1787319009,311.6100,311.6100,311.6100,311.6100
1787319010,311.4900,311.6200,311.4900,311.6000
1787319011,311.6500,311.7900,311.6300,311.7900
1787319012,311.7600,312.0000,311.7600,311.9500
1787319013,311.9100,312.0400,311.8800,312.0400
1787319014,312.0400,312.0500,311.9200,311.9200
1787319015,311.8900,311.9100,311.8300,311.9100
1787319016,311.9600,312.1700,311.9500,312.0900
1787319017,312.1000,312.3700,312.0600,312.2700
1787319018,312.2200,312.2700,312.2200,312.2700
1787319019,312.2800,312.3800,311.9400,312.1600
1787319020,312.0500,312.0700,312.0000,312.0000
1787319022,312.0200,312.0200,311.7500,311.8300
1787319023,311.8300,311.8300,311.7600,311.8100
1787319024,311.7900,311.8100,311.7900,311.8100
1787319025,311.8850,311.8850,311.8850,311.8850
1787319026,311.9000,312.1000,311.9000,312.1000
1787319027,311.9800,311.9800,311.9800,311.9800
1787319028,311.9400,311.9400,311.9100,311.9100
1787319029,312.0600,312.2500,312.0600,312.1300
1787319030,312.0800,312.0800,312.0200,312.0800
1787319031,312.0800,312.2100,312.0800,312.1100
1787319032,312.0800,312.0800,312.0100,312.0100
1787319033,311.9300,311.9300,311.8300,311.8300
1787319034,311.8700,311.8700,311.8700,311.8700
1787319035,311.8700,311.9700,311.8200,311.9000
1787319036,311.8600,311.8600,311.8600,311.8600
1787319037,311.8900,311.9200,311.8600,311.8600
1787319039,311.9900,312.0400,311.9800,311.9800
1787319040,311.9100,311.9100,311.9000,311.9000
1787319041,312.0500,312.0500,312.0300,312.0300
1787319042,312.0100,312.0100,311.9300,311.9600
1787319044,312.0700,312.0900,311.9400,311.9400
1787319045,311.9100,311.9100,311.8000,311.8000
1787319046,311.8100,311.8200,311.7700,311.7700
1787319048,311.7900,311.7900,311.6600,311.6600
1787319049,311.6000,311.6000,311.4800,311.4800
1787319050,311.4300,311.4300,311.3000,311.3000
1787319053,311.3400,311.3400,311.3400,311.3400
1787319054,311.3400,311.3600,311.2000,311.2000
1787319055,311.1900,311.4500,311.1500,311.3600
1787319056,311.3700,311.4600,311.3700,311.4600
1787319057,311.4200,311.4200,311.3700,311.3800
1787319059,311.3650,311.3650,311.3650,311.3650
1787319060,311.3600,311.6800,311.3600,311.5200
1787319061,311.5400,311.5800,311.4900,311.5700
1787319062,311.5800,311.7100,311.5500,311.6900
