ts,o,h,l,c
1787664600,563.5100,563.5100,563.4000,563.5100
1787664601,563.5100,564.5000,563.3000,564.5000
1787664602,564.5000,565.7400,564.1400,565.7400
1787664603,565.7500,566.1500,564.9600,564.9600
1787664604,565.3100,565.3100,565.0300,565.0300
1787664605,565.6500,565.9600,565.6500,565.8100
1787664606,565.3800,565.3800,565.3800,565.3800
1787664607,565.3800,565.6500,565.1000,565.6500
1787664608,565.6650,565.9600,565.6650,565.9600
1787664609,565.4300,565.4300,565.2300,565.2900
1787664610,565.3100,565.3100,564.9500,565.1200
1787664611,564.8800,565.1050,564.8800,565.1050
1787664612,565.1400,565.1400,565.1400,565.1400
1787664614,565.1050,565.1050,564.3500,564.4500
1787664615,564.4500,564.6700,564.4500,564.6700
1787664616,564.9300,565.2500,564.8650,564.8650
1787664618,564.7550,565.1700,564.7550,565.1700
1787664619,565.1700,565.2500,565.1700,565.2500
1787664620,565.0100,565.2800,564.7800,564.9250
1787664621,564.8650,565.0000,564.8650,565.0000
1787664622,565.0000,565.2400,565.0000,565.1900
1787664623,564.9700,565.0250,564.9700,565.0250
1787664624,564.6300,564.6300,564.6300,564.6300
1787664625,565.0100,565.1400,565.0100,565.1000
1787664626,565.1500,565.3900,565.1500,565.3900
1787664627,565.5400,565.8300,565.5400,565.7200
1787664628,565.6100,566.0000,565.6100,565.7000
1787664630,565.6000,565.8300,565.6000,565.7150
1787664631,565.7150,565.7150,565.5400,565.5400
1787664632,565.3700,565.4500,565.3600,565.4500
1787664634,565.2700,565.2700,565.2300,565.2300
1787664637,565.4600,565.8900,565.4600,565.8900
1787664638,565.6800,565.9800,565.6800,565.9800
1787664639,565.8900,565.9900,565.8900,565.9900
1787664640,565.8100,565.8100,565.7650,565.7650
1787664642,565.8600,565.8600,565.8600,565.8600
1787664643,565.9100,565.9100,565.7100,565.7300
1787664644,565.5500,565.5500,565.5400,565.5400
1787664645,565.5500,566.0000,565.5400,565.8500
1787664647,565.8150,565.8150,565.6700,565.6700
1787664649,565.6200,565.6200,565.5250,565.5250
1787664650,565.6700,565.6700,565.6650,565.6650
1787664651,565.6550,565.6550,565.6550,565.6550
1787664652,565.5500,565.6750,565.4500,565.6750
1787664653,565.7500,565.7500,565.7500,565.7500
1787664654,565.6650,565.6650,565.3000,565.3000
1787664655,565.4200,565.6000,565.4200,565.6000
1787664657,565.5100,565.5100,565.5100,565.5100
1787664658,565.6500,565.8000,565.6500,565.8000
1787664659,565.8300,566.0600,565.7700,565.9500
1787664660,565.9700,566.1700,565.9700,566.0400
1787664661,565.7800,565.7800,565.6000,565.6000
1787664662,565.9600,566.1800,565.8700,566.0250
1787664663,566.1800,566.2500,566.1800,566.2200
1787664664,566.3050,566.3050,566.1400,566.1400
1787664665,566.0800,566.1300,565.8950,565.8950
1787664666,565.9600,566.0700,565.8050,565.9500
1787664667,566.0000,566.0000,566.0000,566.0000
1787664668,566.1300,566.1300,566.0150,566.0150
1787664670,566.1300,566.1900,566.1300,566.1900
1787664671,566.4100,567.3600,566.3300,567.3600
1787664672,567.2650,567.3400,567.2500,567.2500
1787664674,567.3550,567.4200,567.0900,567.0900
1787664675,567.1400,567.1400,566.8900,566.8900
1787664678,566.6400,566.6400,566.5400,566.5600
1787664680,566.5600,566.5600,566.5600,566.5600
1787664682,566.5600,566.5600,566.3000,566.4000
1787664683,566.3400,566.8200,566.3400,566.8200
1787664686,567.1700,567.2700,567.1200,567.2700
1787664687,567.3800,567.7800,567.3800,567.5700
1787664690,567.5500,567.5500,567.5500,567.5500
1787664692,567.6050,567.6050,567.6050,567.6050
1787664693,567.5700,567.5700,567.5700,567.5700
1787664694,567.6700,567.8000,567.6100,567.6100
1787664696,567.6100,567.7500,567.6000,567.7500
1787664697,567.6000,567.7600,567.6000,567.7600
1787664698,567.6000,567.7000,567.5600,567.7000
1787664699,567.6250,568.0500,567.6250,567.8500
1787664700,567.7700,567.7900,567.7700,567.7900
1787664701,567.8700,567.8700,567.6800,567.6800
1787664703,567.8000,567.8000,567.8000,567.8000
1787664704,567.8400,567.8400,567.7600,567.7900
1787664705,567.7600,567.8400,567.6000,567.7400
1787664706,567.7600,567.7600,567.6700,567.6700
1787664707,567.9000,567.9000,567.8300,567.8300
1787664708,567.8000,567.9700,567.7700,567.9300
1787664709,567.8400,567.8900,567.8000,567.8000
1787664710,567.8700,567.9200,567.8500,567.9200
1787664711,567.9900,568.0000,567.6300,567.6300
1787664712,567.6300,567.6300,567.6000,567.6100
1787664713,567.7400,567.7400,567.6000,567.6000
1787664714,567.6000,567.6000,567.4800,567.4800
1787664715,567.2300,567.2300,566.9000,566.9000
