ts,o,h,l,c
1787751000,590.3600,591.3700,588.7100,590.0000
1787751001,590.0000,590.0000,588.0000,588.8200
1787751002,588.8200,591.0000,588.5000,590.2700
1787751003,590.2300,590.2300,589.2400,589.2400
1787751004,589.6100,590.0000,589.2200,590.0000
1787751005,590.0000,590.9900,589.2300,590.6500
1787751006,590.5700,590.6200,588.5600,588.7800
1787751007,588.4500,589.0000,587.6000,587.6400
1787751008,587.6400,587.8500,586.6800,586.7700
1787751009,586.7700,587.5800,586.5200,587.5800
1787751010,587.6800,587.9000,587.6800,587.8100
1787751011,587.7900,589.6900,587.1000,589.6900
1787751012,589.7300,590.3100,589.3200,589.9400
1787751013,590.4900,590.6400,588.9100,589.2400
1787751014,589.4600,589.4700,589.0300,589.4700
1787751015,589.2100,589.3500,588.4000,588.6600
1787751016,588.6600,588.8000,588.6600,588.8000
1787751017,588.9000,589.9500,588.7500,589.3900
1787751018,589.5800,589.5800,589.3400,589.4600
1787751019,589.1400,590.4100,588.9800,590.0100
1787751020,590.2500,590.3250,589.5000,590.2450
1787751021,590.4400,591.5000,590.3600,591.3500
1787751022,591.4800,591.5000,591.3000,591.5000
1787751023,591.4900,591.9500,591.2800,591.6000
1787751024,591.6900,592.5000,591.6200,592.4300
1787751025,592.2800,592.3800,591.7200,592.2900
1787751026,591.6300,591.9200,591.0900,591.0900
1787751027,591.0000,591.0000,590.2600,590.4600
1787751028,590.6000,590.6400,590.4950,590.6400
1787751029,590.7100,590.9800,590.7100,590.9800
1787751030,590.9900,591.5000,590.8800,591.2900
1787751031,591.5000,592.9200,591.4000,592.6400
1787751032,592.6200,593.1000,592.5200,593.1000
1787751033,593.0000,593.2000,591.5000,591.6200
1787751034,591.3700,591.3700,590.3950,590.9000
1787751035,591.0000,591.0400,590.3100,590.9300
1787751036,590.9900,591.0500,590.6700,590.8600
1787751037,590.8600,591.1500,590.7550,590.7550
1787751038,590.7500,591.2800,590.7500,591.2800
1787751039,591.3400,593.3400,591.3400,593.2000
1787751040,592.9300,592.9300,592.3100,592.3100
1787751041,592.4500,592.7900,592.0400,592.0400
1787751042,592.0200,592.0200,590.0300,590.0300
1787751043,590.0300,590.1350,588.6600,589.0000
1787751044,589.5200,589.5400,589.0000,589.4800
1787751045,589.3900,589.4000,588.5300,588.5300
1787751046,588.5300,588.6800,588.1300,588.6800
1787751047,588.7900,588.8900,588.3300,588.8900
1787751048,588.8800,588.8900,587.1400,587.1400
1787751049,587.6050,587.6050,586.8800,586.8800
1787751050,587.0000,587.7500,587.0000,587.7500
1787751051,587.9600,589.1000,587.6000,589.1000
1787751052,588.8300,589.0300,588.5150,588.7900
1787751053,588.7500,588.9900,588.5100,588.7500
1787751054,588.5200,588.6400,588.2800,588.6400
1787751055,589.0400,589.1100,589.0300,589.1100
1787751056,588.6300,588.6300,588.5100,588.5100
1787751057,588.3400,588.3400,588.2800,588.3000
1787751058,588.4500,588.7250,587.7500,587.7500
1787751061,587.7900,588.7200,587.5100,588.6300
1787751062,588.8500,588.9400,588.5000,588.7100
1787751063,589.0000,589.4300,589.0000,589.4300
1787751064,589.1300,589.3400,589.1000,589.1000
1787751065,589.0800,589.0800,589.0800,589.0800
1787751066,589.3800,589.3900,588.7400,588.7400
1787751067,588.3300,588.3300,586.2600,586.2600
1787751068,586.2300,586.2300,585.5000,585.7300
1787751069,585.9650,586.0100,585.5000,585.5000
1787751070,586.0800,586.6200,585.9100,586.6200
1787751071,586.1300,586.3300,585.7600,586.1200
1787751072,586.0900,586.0900,585.1100,585.1100
1787751073,585.1200,585.7400,584.9100,585.7400
1787751074,585.5750,585.7400,585.5200,585.7400
1787751075,585.6500,586.3100,585.6500,586.3100
1787751076,586.3100,587.0650,586.1400,586.8800
1787751077,586.9500,587.0800,586.3400,586.7800
1787751078,586.6700,587.0400,586.4000,586.4000
1787751079,586.6500,586.8600,586.6500,586.7100
1787751080,587.1400,587.3000,586.9900,587.0100
1787751081,587.1800,587.2100,587.0750,587.0800
1787751082,587.0700,588.0000,587.0700,588.0000
1787751083,587.7000,587.7000,587.7000,587.7000
1787751084,587.4600,588.2200,587.3800,588.2200
1787751085,588.1500,588.2000,588.0800,588.1500
1787751086,588.3000,588.4200,588.3000,588.4200
1787751087,588.3200,588.4900,588.2400,588.4000
1787751088,588.6000,588.7700,588.6000,588.7700
1787751089,588.3600,588.3600,587.7800,588.1600
1787751090,588.3500,588.3500,587.3800,587.3900
1787751091,587.3800,587.3800,586.7700,587.1600
1787751092,587.0000,587.4600,587.0000,587.4600
1787751093,587.8300,587.8300,587.8300,587.8300
1787751094,587.8900,589.5000,587.8900,588.9600
1787751095,588.9900,589.2300,588.8550,588.8550
1787751096,588.8600,588.8600,588.6000,588.6000
1787751097,588.5800,588.5800,588.1900,588.2200
1787751099,588.1100,588.4200,588.1100,588.2900
1787751100,588.1100,588.2800,588.1100,588.2350
1787751101,588.3050,588.4700,587.9600,588.1900
1787751102,588.2700,588.2700,587.1800,587.3500
1787751103,587.1750,589.0700,587.1750,589.0700
1787751104,588.8300,589.2200,588.7200,588.9500
1787751105,588.9500,589.0000,588.9500,589.0000
1787751106,589.0400,590.1600,589.0400,589.8000
1787751107,589.8000,590.3800,589.6600,590.3800
1787751108,590.3800,590.4000,590.1300,590.1300
1787751109,589.9900,590.0000,589.9900,590.0000
1787751110,590.0100,590.0650,589.8300,589.9100
1787751111,589.8350,590.1800,589.5700,589.6700
1787751112,589.6700,589.6700,589.6700,589.6700
1787751115,589.5700,590.8600,589.5700,590.8600
1787751116,590.6500,590.7600,590.3800,590.7500
1787751117,590.9500,591.0100,590.7350,590.8900
1787751118,590.7100,590.7600,590.4750,590.4750
1787751119,590.5000,590.5000,590.5000,590.5000
1787751120,590.5200,590.5800,590.5200,590.5800
1787751121,590.3900,590.3900,590.0800,590.3800
1787751122,590.1400,590.3700,589.8500,589.9500
1787751123,589.9400,590.3100,589.7800,589.9000
1787751124,589.8650,590.3600,589.8650,590.3600
1787751125,590.0400,590.0600,589.7000,590.0600
1787751126,589.7000,590.3600,589.7000,590.3600
1787751127,590.4700,591.1200,590.4700,591.1000
1787751128,591.1800,591.5100,591.0300,591.2300
1787751129,591.0300,591.3300,590.8900,591.0100
1787751130,591.1900,591.8800,591.1900,591.4000
1787751131,591.9000,592.0600,591.3400,591.4400
1787751132,591.5600,591.9400,591.5500,591.9400
1787751133,591.9000,592.7800,591.9000,592.6800
1787751134,592.4700,592.4700,591.7700,591.7700
1787751135,591.6800,591.6800,591.5200,591.5200
1787751136,591.5750,592.0900,591.5100,592.0900
1787751137,592.2200,592.3900,591.9500,591.9900
1787751138,591.8900,591.9200,591.5000,591.5900
1787751139,591.2200,591.5100,591.2200,591.5100
1787751140,591.7000,591.7000,591.3300,591.3300
1787751141,591.8000,591.9200,591.6100,591.6900
1787751142,591.9200,592.3400,591.8400,592.2000
1787751143,592.2700,592.3200,591.6200,591.6200
1787751144,591.4000,591.4000,590.8900,590.8900
1787751145,590.7300,590.7300,590.3500,590.3500
1787751146,590.2700,590.5700,589.9600,590.4500
1787751147,590.6700,590.8700,590.6700,590.8700
1787751148,590.5500,590.5500,590.5500,590.5500
1787751149,590.8800,590.9600,590.2200,590.2200
1787751150,590.3000,590.6700,590.3000,590.6700
1787751152,590.3600,590.5800,590.3600,590.5800
1787751153,590.3700,590.4100,590.2200,590.4100
1787751154,590.1250,590.1250,587.8700,587.8700
