ts,o,h,l,c
1787146200,261.0300,261.2100,260.9100,260.9100
1787146201,260.9100,261.4300,260.7200,261.3900
1787146202,261.4200,261.5800,261.2600,261.4700
1787146203,261.5800,261.7800,261.5400,261.6600
1787146204,261.7800,261.9000,261.6700,261.7500
1787146205,261.8200,262.0000,261.7400,261.9400
1787146206,261.9400,261.9400,261.8600,261.8600
1787146207,261.8600,262.0800,261.7500,261.8400
1787146208,261.9050,262.5300,261.9050,262.2900
1787146209,262.3000,262.4000,262.2800,262.3700
1787146210,262.4700,262.5500,262.4700,262.5300
1787146211,262.5600,262.5600,262.5100,262.5600
1787146212,262.5800,262.6500,262.3800,262.3800
1787146213,262.2800,262.2800,262.1400,262.2650
1787146215,262.2900,262.3000,262.2650,262.2700
1787146216,262.2700,262.4000,262.2300,262.4000
1787146217,262.3300,262.3300,262.2400,262.3100
1787146218,262.2300,262.2300,261.9800,261.9800
1787146219,261.9800,262.2400,261.9800,262.1600
1787146220,262.2400,262.2400,262.2000,262.2000
1787146221,262.2900,262.3000,262.2600,262.2600
1787146222,262.2800,262.3300,262.1500,262.3100
1787146223,262.3000,262.3000,262.1500,262.1500
1787146224,262.2500,262.2500,262.2000,262.2000
1787146225,262.2500,262.3300,262.2100,262.3300
1787146226,262.3400,262.3500,262.1800,262.1800
1787146227,262.2100,262.3000,262.2100,262.3000
1787146228,262.3000,262.3000,262.3000,262.3000
1787146229,262.3000,262.3800,262.2800,262.3250
1787146230,262.3100,262.4000,262.3100,262.3800
1787146232,262.3100,262.3100,262.2200,262.2300
1787146233,262.2150,262.2150,261.8600,261.8600
1787146234,261.8900,262.0150,261.8400,262.0150
1787146235,262.0700,262.0700,261.9950,261.9950
1787146236,262.1000,262.1000,262.1000,262.1000
1787146237,262.1400,262.1400,262.1400,262.1400
1787146239,262.2100,262.4200,262.1900,262.4200
1787146240,262.3800,262.3800,262.3400,262.3400
1787146241,262.3200,262.5000,262.3200,262.4900
1787146242,262.4300,262.4300,262.4200,262.4200
1787146243,262.5100,262.5100,262.5000,262.5000
1787146244,262.4500,262.5200,262.4400,262.4400
1787146245,262.4500,262.4600,262.2100,262.2100
1787146246,262.1700,262.1700,261.9800,261.9800
1787146248,261.9500,261.9900,261.8900,261.9900
1787146251,262.0800,262.0900,262.0800,262.0900
1787146252,262.0700,262.1300,262.0700,262.1300
1787146253,262.1400,262.1400,262.0800,262.0800
1787146254,262.0700,262.0800,262.0600,262.0600
1787146255,262.0100,262.0100,261.9900,261.9900
1787146256,261.9700,261.9800,261.9700,261.9800
1787146257,262.0200,262.0200,262.0000,262.0000
1787146258,262.0300,262.0300,262.0000,262.0000
1787146259,261.9800,261.9800,261.8300,261.8300
1787146260,261.8300,261.8300,261.6150,261.6150
1787146261,261.6100,261.7400,261.5000,261.6800
1787146262,261.5700,261.5700,261.5700,261.5700
1787146263,261.6100,261.8000,261.6100,261.6700
1787146265,261.7700,261.8100,261.7700,261.8100
1787146266,261.8500,261.9300,261.7900,261.9050
1787146267,261.9000,261.9000,261.8950,261.8950
1787146268,261.9500,262.0000,261.9500,262.0000
1787146269,262.0300,262.0350,262.0300,262.0350
1787146270,262.0300,262.1700,262.0300,262.1700
1787146272,262.1050,262.1050,262.1050,262.1050
1787146273,262.0300,262.0300,262.0000,262.0000
1787146274,261.9400,261.9700,261.9400,261.9550
1787146275,261.9550,261.9600,261.9550,261.9600
1787146278,261.9000,261.9300,261.7300,261.8500
1787146279,261.8800,262.1000,261.8800,261.9600
1787146280,261.9500,261.9500,261.9100,261.9250
1787146281,262.0300,262.0400,262.0000,262.0200
1787146282,262.1100,262.1800,262.1100,262.1100
1787146283,262.1200,262.1200,262.1200,262.1200
1787146284,262.1200,262.1200,262.1200,262.1200
1787146285,262.0100,262.0100,261.9200,261.9200
1787146286,261.9900,261.9900,261.8600,261.8750
1787146287,261.9100,261.9400,261.9100,261.9400
1787146288,261.8850,261.8900,261.6200,261.7200
1787146289,261.7500,261.7500,261.7500,261.7500
1787146290,261.8300,261.9150,261.8200,261.9150
1787146291,261.9200,261.9200,261.9200,261.9200
1787146292,261.9100,261.9150,261.9100,261.9150
1787146293,261.9150,262.0200,261.9150,262.0200
1787146295,262.0950,262.0950,262.0950,262.0950
1787146296,262.0950,262.1400,262.0950,262.1400
1787146299,262.1200,262.1200,261.7200,261.7600
1787146302,261.7900,261.8100,261.7900,261.8100
1787146303,261.8000,261.8600,261.8000,261.8600
1787146305,261.7500,261.7500,261.1700,261.3300
1787146306,261.2650,261.3500,261.2650,261.3500
1787146307,261.3450,261.3850,261.3450,261.3850
1787146308,261.3950,261.6200,261.3950,261.6200
1787146309,261.6250,261.6250,261.6250,261.6250
1787146310,261.6100,261.6100,261.6100,261.6100
1787146311,261.6000,261.6100,261.6000,261.6100
1787146312,261.5100,261.5100,261.1600,261.2150
1787146313,261.1400,261.1400,261.1400,261.1400
1787146314,261.1300,261.1650,261.1300,261.1650
1787146315,261.1350,261.1350,261.1300,261.1300
1787146316,261.1300,261.1300,260.9600,260.9600
1787146317,260.9600,261.2300,260.9100,261.2300
1787146318,261.3200,261.3200,261.3100,261.3100
1787146320,261.2500,261.2500,261.1600,261.1600
1787146321,261.1700,261.1800,261.1700,261.1800
1787146322,261.1800,261.3200,261.1800,261.3150
1787146323,261.3100,261.4600,261.2700,261.4600
1787146324,261.4800,261.5000,261.3500,261.3500
1787146325,261.3900,261.5500,261.3900,261.5200
1787146326,261.5900,261.5900,261.5900,261.5900
1787146329,261.5300,261.5300,261.5300,261.5300
1787146330,261.6900,261.6900,261.6200,261.6200
1787146332,261.5400,261.5600,261.5400,261.5600
1787146333,261.5900,261.5900,261.5900,261.5900
1787146334,261.6300,261.6400,261.5500,261.5500
1787146335,261.5600,261.5600,261.5600,261.5600
1787146339,261.6100,261.6100,261.5800,261.5800
1787146340,261.6000,261.6200,261.5000,261.5000
1787146341,261.5300,261.5300,261.5300,261.5300
1787146343,261.4500,261.5250,261.4000,261.5250
1787146349,261.4300,261.4300,261.2300,261.3800
1787146350,261.4100,261.4700,261.3300,261.3300
1787146351,261.4200,261.4200,261.4200,261.4200
1787146352,261.3700,261.3700,261.3700,261.3700
