ts,o,h,l,c
1788874408,617.3500,617.5500,617.3300,617.4800
1788874409,617.4100,617.4100,617.1800,617.1800
1788874410,616.7800,617.0000,616.7400,616.9900
1788874411,616.9900,616.9900,616.8300,616.8300
1788874412,616.7800,616.7800,616.7300,616.7300
1788874415,616.7450,616.7450,616.6200,616.6200
1788874417,616.7450,616.7450,616.7450,616.7450
1788874419,616.7400,616.7400,616.7400,616.7400
1788874421,616.8100,617.0000,616.8100,616.9800
1788874423,617.1400,617.1500,617.0000,617.0000
1788874424,617.0000,617.0000,617.0000,617.0000
1788874427,616.7400,617.1300,616.7400,617.1300
1788874429,616.9400,617.0200,616.9400,617.0200
1788874430,617.3300,617.3300,617.3300,617.3300
1788874433,617.3200,617.3200,617.3200,617.3200
1788874436,617.3400,617.3400,617.3400,617.3400
1788874437,617.3400,617.4200,617.1400,617.4200
1788874439,617.3500,617.6700,617.3500,617.6100
1788874441,617.3900,617.3900,617.3900,617.3900
1788874442,617.4800,617.6600,617.4800,617.6600
1788874444,617.7400,618.3250,617.7400,618.1500
1788874446,618.0600,618.0600,618.0600,618.0600
1788874448,618.3500,618.4800,618.3500,618.3500
1788874450,618.3550,618.6500,618.3550,618.6500
1788874452,618.7800,619.3200,618.7800,619.3200
1788874453,619.4700,619.5000,619.4700,619.5000
1788874454,619.2800,619.2800,619.2700,619.2700
1788874455,619.4000,619.4100,619.4000,619.4000
1788874457,619.1900,619.1900,618.6200,618.6200
1788874458,618.6200,618.6200,618.6100,618.6100
1788874459,618.6100,618.6100,618.5600,618.5600
1788874460,618.6100,618.6100,617.7800,617.8200
1788874461,617.8300,618.2800,617.8300,618.2800
1788874462,618.4600,618.5800,618.4600,618.5600
1788874463,618.5600,618.5600,618.5600,618.5600
1788874464,618.3700,618.3700,618.3700,618.3700
1788874465,618.4100,618.4100,618.4100,618.4100
1788874467,618.4600,618.5900,618.4600,618.5900
1788874468,618.7200,619.2050,618.7200,619.2050
1788874470,619.1900,619.1900,619.1900,619.1900
1788874471,619.2700,619.5800,619.2700,619.5800
1788874474,619.4700,619.4700,619.2000,619.3350
1788874475,619.3600,619.3600,619.3600,619.3600
1788874476,619.3400,619.3400,619.2500,619.3100
1788874479,619.1300,619.1300,619.0500,619.0500
1788874481,619.3100,619.5000,619.3100,619.5000
1788874484,619.6700,619.8800,619.6700,619.8800
1788874485,619.9400,620.0000,619.9400,619.9500
1788874486,620.3500,620.4300,619.8500,619.8500
1788874487,619.5400,619.7400,619.3500,619.5600
1788874488,619.5600,619.5600,619.5600,619.5600
1788874489,619.2300,619.3300,619.1700,619.2500
1788874491,619.2700,619.2700,619.2500,619.2500
1788874492,619.3300,619.3300,619.1200,619.1800
1788874493,619.3250,619.3250,619.3250,619.3250
1788874494,619.3300,619.3300,619.3300,619.3300
1788874495,619.4700,620.0500,619.4700,620.0500
1788874496,620.6600,620.8900,620.6100,620.6100
1788874498,620.5300,620.6200,620.5200,620.6200
1788874500,620.5300,620.5800,620.3250,620.5100
1788874501,620.5100,620.5100,620.5100,620.5100
1788874503,620.5100,620.5100,620.5000,620.5000
1788874505,620.4200,620.4200,620.4000,620.4000
1788874507,620.1100,620.2800,620.0000,620.2800
1788874508,620.4700,620.7700,620.4500,620.7700
1788874509,620.6000,620.6400,620.6000,620.6100
1788874510,620.3200,620.4800,620.3200,620.4800
1788874512,620.3600,620.3900,620.3600,620.3900
1788874514,620.3950,620.3950,619.9100,619.9100
1788874516,620.1300,620.1300,620.1300,620.1300
1788874519,620.2200,620.2200,620.0600,620.2200
1788874521,620.1300,620.1300,620.0900,620.0900
1788874524,620.2500,620.2500,620.2400,620.2400
1788874525,620.3000,620.3000,620.3000,620.3000
1788874527,620.1700,620.1700,620.1100,620.1100
1788874528,620.3600,620.7000,620.3200,620.7000
1788874529,620.7000,620.7000,620.3900,620.4000
1788874530,620.3600,620.3600,620.3600,620.3600
1788874531,620.4900,620.4900,620.3800,620.3800
1788874532,620.3900,620.6100,620.3600,620.6100
1788874533,620.5600,620.5600,620.4900,620.4950
1788874534,620.5500,620.5500,620.5400,620.5400
1788874535,620.4300,620.8900,620.4300,620.8900
1788874536,620.9900,621.1000,620.9800,620.9800
1788874537,621.0000,621.0000,620.9000,620.9000
1788874539,621.1000,621.6400,621.1000,621.6400
1788874540,621.2300,621.2300,621.1500,621.1500
1788874541,621.1300,621.1300,621.1300,621.1300
1788874542,620.9000,620.9000,620.8100,620.8100
1788874545,620.8100,620.8100,619.6400,619.6400
1788874546,619.9400,620.0700,619.9400,619.9700
1788874549,620.1400,620.1400,620.1400,620.1400
1788874550,619.7200,619.7200,619.4600,619.4600
1788874552,619.5500,619.5500,619.5500,619.5500
1788874555,619.7500,619.7500,619.7500,619.7500
1788874556,619.9900,620.2100,619.9900,620.2100
1788874559,620.4600,620.8900,620.4600,620.8900
1788874561,621.1000,621.2200,621.1000,621.1900
1788874562,621.2700,621.2700,621.0800,621.2700
1788874564,621.4600,621.4600,621.4600,621.4600
1788874565,621.5000,621.5500,621.2400,621.2400
1788874566,621.1700,621.1700,621.0400,621.0400
1788874567,620.6100,620.6100,620.6100,620.6100
1788874568,620.5600,620.5600,620.4000,620.4000
1788874569,620.3300,620.3300,619.6000,619.7100
1788874570,619.8700,620.0100,619.8700,620.0100
1788874571,619.8600,619.8600,619.6100,619.7800
1788874573,619.6000,619.8000,619.4500,619.4500
1788874574,619.4300,619.4300,619.3800,619.3800
1788874575,619.3900,619.3900,619.3300,619.3300
1788874576,619.5700,619.6000,619.5700,619.6000
1788874578,619.5600,619.6100,619.3400,619.3400
1788874581,619.5400,619.9900,619.5400,619.7700
1788874582,619.7400,619.7400,619.7150,619.7150
1788874583,619.7500,619.7500,619.2200,619.3600
1788874584,619.5100,619.6800,619.5100,619.6800
1788874586,619.5400,619.5400,619.5400,619.5400
1788874590,619.2700,619.2700,618.4700,618.4700
1788874591,618.3300,618.3300,618.3300,618.3300
1788874592,618.2400,618.4200,618.2400,618.3100
1788874595,618.2000,618.2000,618.1900,618.1900
1788874596,618.0400,618.0400,617.8600,617.9700
1788874598,617.5000,617.5000,617.5000,617.5000
1788874599,617.4900,617.4900,617.4900,617.4900
1788874600,617.4200,617.4200,617.4200,617.4200
1788874601,617.3500,617.4600,617.2600,617.4600
1788874602,617.3400,617.3400,617.3400,617.3400
1788874603,617.3000,617.3000,617.0200,617.0200
1788874604,617.3400,617.3400,617.0000,617.0800
1788874605,617.0200,617.0200,616.6100,616.6100
1788874606,616.5100,617.0400,616.5100,617.0400
1788874608,617.1300,617.6000,617.1300,617.6000
1788874609,617.5400,617.5400,617.5400,617.5400
1788874610,617.5000,617.5000,617.5000,617.5000
1788874613,617.3000,617.3000,617.3000,617.3000
1788874615,617.5200,617.5200,617.5200,617.5200
1788874617,617.6000,617.6400,617.6000,617.6400
1788874618,617.7600,618.0000,617.7600,617.8700
1788874620,617.8100,618.0100,617.8100,618.0100
1788874621,617.9400,617.9400,617.9400,617.9400
1788874622,617.7000,617.7000,617.5950,617.5950
1788874623,617.5900,617.5900,617.5900,617.5900
1788874625,617.8900,617.8900,617.6900,617.6900
1788874627,617.7800,617.7800,617.7800,617.7800
1788874630,617.8550,617.8550,617.7400,617.7400
1788874631,617.9700,618.0400,617.9700,618.0400
1788874634,617.7600,617.7700,617.6200,617.6500
1788874635,617.9100,617.9100,617.9100,617.9100
1788874638,618.0000,618.0000,618.0000,618.0000
1788874639,618.1500,618.3500,618.1500,618.3500
1788874642,618.1800,618.1800,618.1800,618.1800
1788874646,618.1350,618.1350,618.1350,618.1350
1788874647,618.1350,618.2100,618.1350,618.2100
1788874650,618.3900,618.9450,618.3900,618.9450
