ts,o,h,l,c
1788442345,343.1500,343.2050,343.0700,343.0700
1788442346,343.1300,343.1700,343.1300,343.1600
1788442347,343.1750,343.2000,342.9800,342.9800
1788442348,343.0000,343.0000,342.9500,342.9500
1788442349,343.0500,343.0700,343.0500,343.0700
1788442350,343.0300,343.0300,342.9000,342.9400
1788442351,343.0200,343.1200,343.0100,343.1200
1788442352,343.1000,343.1050,343.0200,343.1050
1788442353,343.1100,343.1600,343.1100,343.1600
1788442355,343.1000,343.1000,342.9000,342.9000
1788442356,342.9300,342.9600,342.9300,342.9600
1788442357,343.0900,343.1000,343.0000,343.0000
1788442358,343.1000,343.2500,343.1000,343.1700
1788442359,343.2600,343.2600,343.2600,343.2600
1788442360,343.2150,343.2150,343.1400,343.1600
1788442361,343.1550,343.2600,343.0900,343.2600
1788442362,343.2000,343.2000,343.0700,343.1800
1788442363,343.1300,343.2000,343.0400,343.2000
1788442365,343.1550,343.1550,342.8700,342.9100
1788442366,343.0000,343.0800,343.0000,343.0800
1788442367,343.1300,343.1300,343.1000,343.1200
1788442368,343.1200,343.1200,343.0500,343.1200
1788442369,343.2000,343.2400,343.2000,343.2100
1788442370,343.2500,343.3200,343.2500,343.2800
1788442371,343.2700,343.4000,343.2700,343.4000
1788442373,343.4000,343.4000,343.4000,343.4000
1788442374,343.4000,343.4100,343.3400,343.3400
1788442375,343.3500,343.3550,343.3200,343.3200
1788442376,343.3550,343.3550,343.2400,343.2700
1788442377,343.2800,343.3400,343.2800,343.3100
1788442378,343.2900,343.3400,343.2900,343.3400
1788442379,343.3400,343.4500,343.3400,343.4350
1788442380,343.4600,343.5400,343.4600,343.5400
1788442381,343.4800,343.4800,343.4800,343.4800
1788442382,343.5100,343.5700,343.5100,343.5450
1788442383,343.5250,343.5250,343.3100,343.3900
1788442384,343.3550,343.4000,343.3550,343.4000
1788442385,343.4150,343.4900,343.4150,343.4600
1788442386,343.4500,343.4500,343.4500,343.4500
1788442387,343.4500,343.6000,343.4500,343.6000
1788442388,343.5700,343.5700,343.5400,343.5400
1788442389,343.5000,343.5700,343.5000,343.5700
1788442390,343.6000,343.6100,343.4100,343.4800
1788442391,343.4350,343.4350,343.3500,343.3950
1788442392,343.3800,343.3950,343.3400,343.3400
1788442393,343.3700,343.4000,343.2900,343.4000
1788442394,343.4500,343.5900,343.4500,343.5900
1788442395,343.6100,343.6300,343.5900,343.6300
1788442396,343.6300,343.6300,343.5100,343.5100
1788442397,343.4300,343.5100,343.4300,343.5100
1788442398,343.5100,343.5700,343.5100,343.5700
1788442399,343.5050,343.5050,343.4700,343.4700
1788442400,343.4800,343.4900,343.4500,343.4900
1788442401,343.4400,343.4400,343.2800,343.3400
1788442402,343.3400,343.3500,342.9200,342.9200
1788442403,342.9400,342.9900,342.9250,342.9250
1788442404,342.9500,343.0300,342.9500,343.0300
1788442405,343.0800,343.0800,343.0800,343.0800
1788442407,343.0500,343.0500,343.0500,343.0500
1788442408,343.0200,343.0200,343.0200,343.0200
1788442409,343.0100,343.0100,343.0100,343.0100
1788442410,343.0100,343.0100,342.9800,342.9800
1788442411,342.9500,342.9950,342.9400,342.9950
1788442412,342.9800,343.0800,342.9800,343.0800
1788442414,343.0800,343.1200,343.0500,343.1200
1788442415,343.1100,343.1100,343.1100,343.1100
1788442416,343.0400,343.0400,342.9300,342.9500
1788442417,342.9600,343.1000,342.9600,343.0350
1788442418,343.1000,343.1000,343.0100,343.0100
1788442419,343.0000,343.0000,342.8100,342.8100
1788442420,342.8900,342.9000,342.8000,342.8000
1788442421,342.8000,342.8000,342.7700,342.7700
1788442422,342.8300,342.8900,342.8300,342.8350
1788442423,342.8300,342.8300,342.7300,342.8200
1788442424,342.8500,343.1200,342.8500,343.1200
1788442425,343.1600,343.2100,343.0750,343.1200
1788442426,343.1000,343.1000,343.1000,343.1000
1788442427,343.1100,343.1100,343.0300,343.0300
1788442429,343.0350,343.1700,343.0350,343.1700
1788442432,343.1100,343.1600,343.1000,343.1000
1788442433,343.1350,343.2300,343.1350,343.1900
1788442435,343.1900,343.3500,343.1700,343.3500
1788442437,343.3400,343.3800,343.2300,343.3800
1788442438,343.4200,343.4700,343.4000,343.4000
1788442440,343.3450,343.3800,343.3200,343.3800
1788442441,343.3700,343.3700,343.0950,343.1600
1788442442,343.2100,343.2200,342.9500,342.9600
1788442443,342.9900,343.0000,342.9500,342.9500
1788442446,342.9600,343.0400,342.9600,343.0400
1788442447,343.0700,343.1000,343.0500,343.0500
1788442448,343.0500,343.1800,343.0500,343.1800
1788442450,343.1600,343.1600,343.1600,343.1600
1788442451,343.1750,343.2300,343.1750,343.2300
1788442452,343.1200,343.1900,343.0500,343.1900
1788442453,343.1900,343.1900,343.1900,343.1900
1788442454,343.1250,343.1250,343.1200,343.1200
1788442455,343.1900,343.1900,343.1800,343.1800
1788442456,343.1400,343.3000,343.1400,343.2900
1788442457,343.2900,343.3200,343.2500,343.2500
1788442458,343.2150,343.2900,343.2150,343.2200
1788442459,343.1900,343.1900,343.1400,343.1500
1788442460,343.2200,343.4500,343.2100,343.4500
1788442461,343.4400,343.4900,343.4400,343.4900
1788442462,343.4400,343.4400,343.4400,343.4400
1788442463,343.4000,343.4350,343.3700,343.4200
1788442464,343.4250,343.4250,343.4250,343.4250
1788442465,343.4600,343.4600,343.4600,343.4600
1788442466,343.4100,343.4100,343.3600,343.3600
1788442467,343.3500,343.3500,343.3300,343.3300
1788442468,343.3300,343.3300,343.0600,343.0800
1788442470,343.0900,343.1700,343.0900,343.1700
1788442471,343.1700,343.1700,343.1700,343.1700
1788442472,343.0700,343.2000,343.0700,343.2000
1788442473,343.0800,343.0850,343.0700,343.0850
1788442474,343.0400,343.0600,342.8700,343.0300
1788442475,342.9250,342.9250,342.9250,342.9250
1788442476,343.0100,343.1700,343.0100,343.1600
1788442478,343.0200,343.0200,343.0000,343.0000
1788442479,342.9600,342.9600,342.9600,342.9600
1788442481,343.0500,343.1200,343.0500,343.1200
1788442482,343.1200,343.1300,343.0850,343.0850
1788442483,343.0800,343.0800,343.0100,343.0800
1788442484,343.0700,343.0700,343.0200,343.0200
1788442486,342.9800,343.0000,342.9800,343.0000
1788442487,343.0400,343.0400,343.0400,343.0400
1788442488,342.9900,343.1400,342.9800,343.1400
1788442489,343.1000,343.1000,343.0500,343.0500
1788442490,343.0650,343.1100,342.9700,342.9800
1788442491,343.0600,343.1000,343.0200,343.0800
1788442492,343.0600,343.0600,343.0100,343.0600
1788442494,343.0000,343.0000,342.7000,342.7200
1788442495,342.6300,342.6300,342.4900,342.5000
1788442496,342.4200,342.4850,342.4200,342.4400
1788442497,342.4800,342.4800,342.3800,342.3800
1788442498,342.4200,342.4200,342.4200,342.4200
1788442499,342.4700,342.5900,342.4700,342.5900
1788442500,342.6000,342.6200,342.4900,342.5500
1788442501,342.5600,342.7000,342.5400,342.6700
1788442502,342.6700,342.7500,342.6700,342.7500
1788442504,342.8300,342.9100,342.8000,342.8700
1788442505,342.8100,342.8350,342.7000,342.7900
1788442507,342.8400,343.0000,342.8400,343.0000
1788442508,342.9500,343.0100,342.8600,342.8600
1788442509,342.8400,342.8700,342.8300,342.8600
1788442510,342.8700,342.9000,342.8400,342.8500
1788442511,342.8600,342.8600,342.8600,342.8600
1788442512,342.8400,342.8700,342.8400,342.8700
1788442513,342.8400,342.8400,342.6700,342.6700
1788442514,342.6700,342.7800,342.6700,342.7700
1788442515,342.7700,342.8200,342.7100,342.8050
1788442516,342.8050,342.8050,342.7100,342.7500
1788442517,342.7700,342.7900,342.7500,342.7500
1788442518,342.7400,342.7400,342.6500,342.6500
1788442519,342.6500,342.6900,342.5800,342.5950
1788442520,342.6300,342.6900,342.6300,342.6900
1788442521,342.6650,342.7200,342.6650,342.7200
1788442522,342.6750,342.6750,342.6750,342.6750
1788442524,342.6800,342.6800,342.5500,342.6100
1788442525,342.6500,342.6500,342.6500,342.6500
1788442526,342.6500,342.6500,342.6000,342.6100
1788442527,342.5800,342.5800,342.3300,342.3400
1788442528,342.3200,342.3200,342.2400,342.3000
1788442529,342.2400,342.2600,342.2400,342.2500
1788442530,342.2300,342.2450,342.2200,342.2250
1788442531,342.2000,342.2400,342.2000,342.2400
1788442532,342.2150,342.2150,342.2150,342.2150
1788442533,342.2100,342.2300,342.1800,342.1800
1788442534,342.1800,342.2100,342.1700,342.1800
1788442535,342.1500,342.1500,342.0200,342.0950
1788442536,342.0300,342.0300,341.8900,341.9300
1788442537,341.9400,341.9400,341.9200,341.9200
1788442538,341.9900,342.2300,341.9800,342.0500
1788442539,342.1300,342.1300,342.0600,342.1000
1788442542,342.1000,342.1400,342.0500,342.0600
1788442544,342.0800,342.1200,342.0600,342.1200
1788442545,342.0700,342.1400,342.0600,342.1000
1788442546,342.1050,342.1400,342.1000,342.1000
1788442547,342.1500,342.4600,342.1500,342.3500
1788442549,342.3800,342.5000,342.3800,342.4500
1788442550,342.5500,342.5500,342.5000,342.5000
1788442551,342.4900,342.5150,342.4800,342.5000
1788442552,342.4900,342.4900,342.4700,342.4700
1788442553,342.4950,342.4950,342.4950,342.4950
1788442554,342.5600,342.6700,342.5600,342.6700
1788442555,342.7350,342.7350,342.7350,342.7350
1788442556,342.7100,342.7200,342.6900,342.7000
1788442557,342.6300,342.6500,342.5000,342.5000
1788442558,342.4700,342.5000,342.4500,342.4900
1788442559,342.4900,342.5400,342.4900,342.5400
1788442560,342.5300,342.5300,342.5300,342.5300
1788442561,342.6300,342.6300,342.6300,342.6300
1788442562,342.5700,342.5700,342.3400,342.3500
1788442563,342.3000,342.3000,342.3000,342.3000
1788442564,342.3100,342.3500,342.3100,342.3500
1788442565,342.4200,342.5600,342.4200,342.4900
1788442566,342.5050,342.6400,342.5050,342.6400
1788442567,342.6200,342.6200,342.6000,342.6000
1788442568,342.6200,342.6200,342.6200,342.6200
1788442573,342.6650,342.7200,342.6200,342.6200
1788442574,342.6500,342.6700,342.6500,342.6700
1788442576,342.7300,342.8600,342.7200,342.8600
1788442577,342.9400,343.0200,342.9200,342.9900
1788442578,342.9600,343.0100,342.9600,342.9600
1788442579,343.0100,343.0200,342.9700,343.0200
1788442580,342.9800,342.9800,342.9800,342.9800
1788442581,343.0100,343.0500,343.0100,343.0350
1788442582,343.0600,343.0600,342.9100,343.0000
1788442583,343.0100,343.0100,342.8500,342.9500
1788442584,342.8600,342.8600,342.8500,342.8500
1788442585,342.8600,342.8600,342.8100,342.8300
1788442586,342.8950,342.9100,342.8950,342.9100
1788442587,342.9800,343.0200,342.9800,343.0200
1788442588,343.0000,343.0000,343.0000,343.0000
1788442589,343.0600,343.2350,343.0600,343.2350
1788442590,343.2350,343.3100,343.2300,343.2550
1788442591,343.2800,343.2800,343.2800,343.2800
1788442592,343.2600,343.3200,343.2600,343.3100
1788442593,343.3300,343.3300,343.3100,343.3100
1788442594,343.2700,343.2700,343.2100,343.2100
1788442595,343.1700,343.1700,343.0800,343.0800
1788442597,343.0500,343.0600,343.0500,343.0600
1788442598,343.0100,343.0200,343.0100,343.0200
1788442599,343.0500,343.0600,343.0500,343.0600
1788442600,343.0400,343.0600,342.8700,343.0400
1788442601,343.0300,343.0300,342.9500,342.9500
1788442602,342.9200,342.9400,342.9000,342.9000
1788442603,342.9500,343.1100,342.9500,343.0300
1788442604,343.0300,343.0300,343.0200,343.0200
1788442605,343.0200,343.0400,343.0200,343.0400
1788442606,343.0500,343.0600,343.0400,343.0400
1788442607,343.0600,343.0600,343.0600,343.0600
1788442608,343.1000,343.2100,343.1000,343.2100
1788442609,343.1800,343.2200,343.1800,343.1800
1788442610,343.1900,343.2500,343.1000,343.1000
