ts,o,h,l,c
1788355979,460.0000,460.0000,459.7400,459.7400
1788355981,460.0400,460.1200,459.9500,459.9500
1788355982,459.9500,459.9500,459.9500,459.9500
1788355983,460.0800,460.4100,460.0800,460.4100
1788355984,460.4100,460.6000,460.4100,460.6000
1788355985,460.7100,460.7600,460.6650,460.7000
1788355988,460.6550,460.6550,460.6200,460.6200
1788355989,460.6550,460.6550,460.6550,460.6550
1788355990,460.5100,461.2600,460.4300,461.2600
1788355991,461.3900,461.8100,461.3900,461.6800
1788355992,461.5000,461.7400,461.5000,461.6600
1788355993,461.5000,461.5000,461.5000,461.5000
1788355995,461.2300,461.2400,461.1300,461.1300
1788355996,461.0750,461.0800,461.0750,461.0800
1788355997,461.2500,461.2900,461.2500,461.2900
1788355998,461.0400,461.0600,461.0400,461.0600
1788355999,461.0700,461.0800,461.0700,461.0800
1788356000,460.9600,460.9600,459.4200,460.1300
1788356001,460.3100,460.3100,460.0000,460.2200
1788356002,460.0000,460.3700,460.0000,460.2000
1788356004,460.1200,460.1300,460.0600,460.1300
1788356005,460.1200,460.1200,460.0600,460.1100
1788356008,460.1900,460.1900,460.1900,460.1900
1788356009,460.3300,460.4700,460.2800,460.3800
1788356010,460.2200,460.5300,460.2200,460.5300
1788356012,460.1100,460.2000,460.1100,460.2000
1788356014,460.1100,460.1100,460.0000,460.0000
1788356015,459.9100,459.9100,459.9000,459.9000
1788356016,459.8500,459.8500,459.8500,459.8500
1788356017,459.8400,459.8400,459.8400,459.8400
1788356018,459.8100,459.8200,459.7800,459.7800
1788356019,459.7700,460.1000,459.7200,459.7200
1788356020,459.5900,459.5900,459.4300,459.4300
1788356021,459.4000,459.4000,459.4000,459.4000
1788356022,459.3300,459.3300,459.3300,459.3300
1788356023,459.2300,459.3500,459.2200,459.3500
1788356024,459.2100,459.2100,459.2100,459.2100
1788356025,459.2800,459.3000,459.2800,459.3000
1788356031,459.4100,459.4100,458.9400,458.9400
1788356034,458.6500,458.6500,458.5000,458.6050
1788356035,458.7300,458.7300,458.6000,458.6000
1788356038,458.7800,458.8700,458.7800,458.8700
1788356040,459.0000,459.0300,459.0000,459.0300
1788356041,459.1200,459.1200,459.1200,459.1200
1788356045,459.2100,459.2100,459.0400,459.0400
1788356046,459.0000,459.0000,459.0000,459.0000
1788356048,459.2100,459.4200,459.2100,459.4200
1788356049,459.1900,459.1900,459.1600,459.1600
1788356050,459.1000,459.1000,459.0500,459.0500
1788356053,459.0000,459.0000,458.9500,458.9500
1788356055,459.0000,459.2300,459.0000,459.2300
1788356060,459.4100,459.5000,459.4100,459.5000
1788356061,459.3800,459.7000,459.3800,459.7000
1788356062,459.8000,459.8400,459.8000,459.8400
1788356063,460.0000,460.0500,459.7600,459.7600
1788356064,459.5000,459.5000,459.4700,459.4700
1788356067,459.3400,459.3400,459.3400,459.3400
1788356068,459.4100,459.4100,459.4100,459.4100
1788356071,459.3300,459.4100,459.3300,459.4100
1788356072,459.6500,459.7100,459.3000,459.3000
1788356081,459.2300,459.2300,458.8100,459.0100
1788356082,458.7500,458.7500,458.2500,458.2500
1788356083,458.3800,458.3800,458.3800,458.3800
1788356084,458.3200,458.3200,458.2600,458.2600
1788356090,458.4100,458.4100,458.3400,458.3400
1788356091,458.2500,458.2500,458.0000,458.2000
1788356092,458.0500,458.4000,457.8800,458.4000
1788356094,458.2300,458.2300,457.9400,457.9400
1788356095,458.2400,458.2600,458.2400,458.2600
1788356098,458.3900,458.3900,458.3900,458.3900
1788356100,458.4350,458.5000,458.3000,458.3000
1788356101,458.2500,458.3000,458.0000,458.0800
1788356102,458.0300,458.2600,457.9900,458.2600
1788356103,458.2600,458.2600,458.2600,458.2600
1788356104,458.1600,458.2500,458.1600,458.1800
1788356108,458.1200,458.1200,457.9900,457.9900
1788356109,458.1800,458.3700,458.1800,458.2400
1788356111,458.2400,458.2400,458.2400,458.2400
1788356112,458.0800,458.0800,458.0800,458.0800
1788356116,458.4000,458.4300,458.3550,458.3550
1788356117,458.4700,458.8000,458.4700,458.8000
1788356118,458.6500,458.6500,458.6500,458.6500
1788356120,458.3900,458.3900,458.3900,458.3900
1788356121,458.2400,458.2500,458.2400,458.2500
1788356122,458.1800,458.1800,458.1800,458.1800
1788356123,458.0800,458.2300,457.9400,458.2300
1788356125,457.9700,457.9700,457.9600,457.9600
1788356126,458.2300,458.4250,458.2300,458.4250
1788356128,458.3700,458.4400,458.3700,458.4400
1788356130,458.2900,458.2900,458.1900,458.1900
1788356131,458.2300,458.2300,458.2300,458.2300
1788356132,458.4100,458.4100,458.3100,458.3100
1788356133,458.3100,458.3100,458.3000,458.3000
1788356136,458.5500,458.6600,458.5400,458.5400
1788356137,458.5550,458.5550,458.5000,458.5000
1788356138,458.4300,458.4300,458.4000,458.4000
1788356140,458.2600,458.3100,458.1400,458.3100
1788356141,458.1500,458.3000,458.1100,458.3000
1788356144,458.0300,458.0300,458.0000,458.0000
1788356145,457.9300,457.9300,457.9300,457.9300
1788356146,457.8500,457.8500,457.8000,457.8000
1788356147,457.8500,457.8500,457.7600,457.7600
1788356148,457.7500,457.7500,457.4100,457.4100
1788356149,457.3500,457.3500,457.2700,457.2700
1788356150,457.2500,457.3500,457.2500,457.3500
1788356151,457.2300,457.2300,457.1500,457.2100
1788356152,457.3400,457.3400,457.3400,457.3400
1788356153,457.2000,457.2000,457.0500,457.0500
1788356154,457.0400,457.0400,457.0400,457.0400
1788356155,457.2700,457.4100,457.2700,457.4100
1788356156,457.3200,457.3200,457.3200,457.3200
1788356157,457.2700,457.2700,457.2200,457.2200
1788356158,457.1600,457.1600,457.1400,457.1400
1788356159,457.3700,457.5800,457.3700,457.5800
1788356160,457.4300,457.4300,457.4200,457.4200
1788356161,457.4800,457.4800,457.4800,457.4800
1788356165,457.4300,457.4300,457.2400,457.2400
1788356166,457.2200,457.2200,457.2100,457.2100
1788356167,457.3100,457.3100,457.1200,457.2700
1788356168,457.1100,457.1100,457.0300,457.0300
1788356169,457.2500,457.2500,457.2500,457.2500
1788356171,457.2950,457.2950,457.2950,457.2950
1788356172,457.4700,457.4700,457.4700,457.4700
1788356173,457.5000,457.6400,457.5000,457.6000
1788356174,457.5900,457.6400,457.5000,457.5800
1788356176,457.6500,457.6600,457.6500,457.6600
1788356177,457.5800,457.5800,457.4700,457.4700
1788356179,457.5500,457.7500,457.5500,457.7500
1788356180,457.7800,457.8000,457.7800,457.8000
1788356184,458.0000,458.1200,457.9800,457.9800
1788356185,458.1300,458.1300,457.8900,457.8900
1788356186,457.8500,457.8500,457.6600,457.6600
1788356187,457.7200,457.7900,457.7200,457.7900
1788356188,457.7700,457.9800,457.7700,457.9300
1788356189,457.9300,457.9900,457.9300,457.9400
1788356191,457.6600,457.6600,457.6200,457.6200
1788356193,457.7450,457.7450,457.7450,457.7450
1788356197,457.6800,457.6800,457.6800,457.6800
1788356200,457.6300,457.6300,457.6300,457.6300
1788356202,457.5700,457.5700,457.5100,457.5100
1788356203,457.5300,457.5300,457.5100,457.5100
1788356204,457.6400,457.7400,457.6400,457.7400
1788356205,457.7500,457.7500,457.7500,457.7500
1788356209,457.7500,457.7500,457.7500,457.7500
1788356210,457.7400,457.7400,457.7400,457.7400
1788356212,457.7500,458.0000,457.7500,457.9100
1788356214,457.8100,457.8100,457.6800,457.6800
1788356215,457.8700,457.8700,457.8700,457.8700
1788356218,457.9400,457.9400,457.9400,457.9400
1788356219,457.9800,457.9800,457.9800,457.9800
1788356220,457.9200,457.9200,457.9200,457.9200
1788356223,457.6100,457.6100,457.5000,457.5000
1788356225,457.5000,457.5000,457.5000,457.5000
1788356226,457.4000,457.6700,457.2700,457.6700
1788356227,457.5400,457.6400,457.4100,457.4100
1788356229,457.6800,457.6800,457.6800,457.6800
1788356230,457.6900,457.7800,457.6900,457.7800
1788356232,457.9200,458.1050,457.9200,458.1050
1788356233,458.1300,458.1400,458.0300,458.0300
1788356239,457.9200,457.9200,457.9000,457.9000
1788356244,457.6300,457.6300,457.5000,457.6100
1788356247,457.5300,457.5300,457.5100,457.5100
1788356248,457.6500,457.6500,457.6500,457.6500
1788356251,457.3600,457.3600,457.3000,457.3000
1788356255,457.5000,457.5000,457.5000,457.5000
1788356258,457.6200,457.7800,457.6200,457.7700
1788356259,457.9100,457.9100,457.9100,457.9100
1788356260,458.0000,458.0000,458.0000,458.0000
1788356261,458.0000,458.0900,457.9800,457.9800
1788356263,458.0600,458.0600,458.0600,458.0600
1788356265,458.1500,458.3000,458.1500,458.2300
1788356267,458.3900,458.3900,458.3900,458.3900
1788356268,458.4900,458.5000,458.4900,458.5000
