ts,o,h,l,c
1787319000,218.4500,218.4500,218.0300,218.0300
1787319001,218.0800,218.4400,217.7400,218.0000
1787319002,218.0000,218.0000,217.6300,217.8200
1787319003,217.8200,217.8700,217.1900,217.3250
1787319004,217.3900,217.4200,217.0000,217.0700
1787319005,217.0900,217.1700,216.8500,216.9300
1787319006,216.9000,216.9900,216.8700,216.8800
1787319007,216.9000,217.2300,216.8500,217.1900
1787319008,217.2500,217.3900,217.2500,217.3900
1787319009,217.3850,217.5400,217.3850,217.5400
1787319010,217.5100,217.5700,217.4700,217.4700
1787319011,217.4800,217.5200,217.3800,217.4450
1787319012,217.4400,217.5600,217.4400,217.5600
1787319013,217.5600,217.6100,217.5600,217.6100
1787319014,217.6300,217.7100,217.5000,217.5900
1787319015,217.6100,217.6200,217.5500,217.5800
1787319016,217.6100,217.6100,217.5200,217.5400
1787319017,217.5400,217.6300,217.4900,217.6300
1787319018,217.6300,217.7600,217.5800,217.7300
1787319019,217.8000,217.8200,217.8000,217.8000
1787319020,217.8100,217.9050,217.8100,217.8800
1787319021,217.8350,217.9100,217.6800,217.7150
1787319022,217.7500,217.7500,217.4900,217.5000
1787319023,217.4600,217.4600,217.3800,217.3900
1787319024,217.3800,217.4950,217.3700,217.4500
1787319025,217.4200,217.4200,217.3800,217.3850
1787319026,217.3800,217.3800,217.3300,217.3300
1787319027,217.3100,217.3100,217.1800,217.2100
1787319028,217.2200,217.3900,217.2000,217.3400
1787319029,217.3700,217.3800,217.3700,217.3700
1787319030,217.3800,217.4800,217.3700,217.4750
1787319031,217.5200,217.6200,217.4900,217.6200
1787319032,217.6100,217.6300,217.6100,217.6300
1787319033,217.6100,217.6100,217.5300,217.5600
1787319034,217.5900,217.5900,217.5300,217.5500
1787319035,217.5800,217.6150,217.5600,217.5600
1787319036,217.5850,217.6200,217.5700,217.5700
1787319037,217.5700,217.6000,217.5400,217.6000
1787319038,217.5650,217.6000,217.5600,217.5900
1787319039,217.6000,217.6200,217.6000,217.6200
1787319040,217.6200,217.6900,217.6000,217.6600
1787319041,217.6100,217.6400,217.5800,217.5800
1787319042,217.5800,217.6600,217.5100,217.5700
1787319043,217.6300,217.6700,217.6300,217.6700
1787319044,217.7100,217.9000,217.7100,217.9000
1787319045,217.9000,218.0400,217.8800,218.0300
1787319046,218.0500,218.0500,217.9600,217.9700
1787319047,217.9500,218.0200,217.9300,217.9500
1787319048,218.0100,218.0300,217.9100,217.9100
1787319049,217.9100,217.9200,217.9100,217.9100
1787319050,217.8900,217.9100,217.8200,217.8800
1787319051,217.9100,217.9600,217.7900,217.8700
1787319052,217.8500,217.8500,217.8450,217.8500
1787319053,217.8700,217.8800,217.8200,217.8500
1787319054,217.8700,217.8700,217.8700,217.8700
1787319056,217.8850,217.8900,217.8300,217.8500
1787319057,217.8500,217.8500,217.8300,217.8300
1787319058,217.8300,217.8300,217.7600,217.8100
1787319059,217.8050,217.8500,217.7800,217.8200
1787319060,217.7900,217.8000,217.6600,217.7300
1787319061,217.7600,217.7700,217.7100,217.7100
1787319062,217.6900,217.8500,217.6000,217.7200
1787319063,217.7400,217.8300,217.7400,217.8100
1787319064,217.8000,217.8500,217.7800,217.7850
1787319065,217.7800,217.8200,217.7200,217.7700
1787319066,217.7300,217.7800,217.7000,217.7550
1787319067,217.7550,217.8600,217.7550,217.7600
1787319068,217.7800,217.9000,217.7400,217.8100
1787319069,217.8100,217.8100,217.7800,217.7900
1787319070,217.7900,217.8200,217.7600,217.7700
1787319071,217.7900,217.8200,217.7400,217.7400
1787319072,217.7600,217.7800,217.7300,217.7300
1787319073,217.7300,217.7300,217.7000,217.7000
1787319074,217.6600,217.6600,217.6200,217.6500
1787319075,217.6600,217.6600,217.6600,217.6600
1787319076,217.6400,217.6600,217.6300,217.6500
1787319077,217.6900,217.7500,217.6900,217.7400
1787319078,217.6900,217.6900,217.6200,217.6200
1787319079,217.6500,217.6850,217.6100,217.6850
1787319080,217.7050,217.7700,217.7050,217.7700
1787319081,217.7900,217.7900,217.6700,217.6700
1787319082,217.6700,217.6700,217.6550,217.6550
1787319083,217.6800,217.6800,217.6700,217.6800
1787319084,217.7300,217.7900,217.7300,217.7500
1787319085,217.7400,217.7400,217.7400,217.7400
1787319086,217.7800,217.9200,217.7800,217.9200
1787319087,217.8900,217.8900,217.8100,217.8100
1787319088,217.7900,217.7900,217.7700,217.7700
1787319089,217.7800,217.8100,217.7800,217.8000
1787319090,217.8000,217.8000,217.8000,217.8000
1787319091,217.8000,217.8000,217.7200,217.7900
1787319092,217.7800,217.7800,217.7800,217.7800
1787319093,217.7900,217.9500,217.7800,217.9300
1787319094,217.9300,217.9300,217.9100,217.9100
1787319095,217.8900,217.9000,217.8400,217.8600
1787319096,217.8700,217.9500,217.8500,217.8500
1787319097,217.8500,217.8500,217.7500,217.8400
1787319098,217.8900,217.9500,217.8900,217.9100
1787319099,217.9400,218.1000,217.9400,218.0200
1787319100,218.0200,218.0400,217.9700,218.0100
1787319101,218.0300,218.1000,218.0200,218.0900
1787319102,218.0600,218.1400,218.0200,218.1200
1787319103,218.1400,218.2200,218.1300,218.2200
1787319104,218.2400,218.2400,218.1700,218.1700
1787319105,218.1800,218.1800,218.1100,218.1700
1787319106,218.1900,218.1900,218.0000,218.0000
1787319107,218.0000,218.0100,217.9400,217.9400
1787319108,217.9200,217.9700,217.9100,217.9700
1787319109,217.9800,217.9800,217.8900,217.9300
1787319110,217.9500,217.9800,217.9400,217.9800
1787319111,217.9600,218.1200,217.9500,218.1100
1787319112,218.0700,218.0900,218.0600,218.0900
1787319113,218.0900,218.1800,218.0700,218.1000
1787319114,218.1200,218.1200,218.0700,218.0800
1787319115,218.0700,218.0700,218.0100,218.0300
1787319116,218.0000,218.0700,218.0000,218.0400
1787319117,218.0800,218.1100,218.0700,218.0800
1787319118,218.0500,218.1200,218.0400,218.1200
1787319119,218.1000,218.1100,218.0700,218.0700
1787319120,218.0900,218.1100,218.0500,218.0500
1787319121,218.0200,218.0300,217.9600,217.9600
1787319122,217.9550,217.9550,217.9550,217.9550
1787319123,217.9300,217.9800,217.8500,217.9800
1787319124,217.9900,218.3400,217.9800,218.3200
1787319125,218.3000,218.3400,218.2300,218.2800
1787319126,218.2600,218.3000,218.2600,218.2600
1787319127,218.2600,218.3200,218.2400,218.2600
1787319128,218.2700,218.2800,218.2700,218.2800
1787319129,218.2900,218.2950,218.2600,218.2600
1787319130,218.2500,218.2800,218.1600,218.2100
1787319131,218.2500,218.2500,218.2100,218.2100
1787319132,218.2000,218.2500,218.2000,218.2500
1787319133,218.2600,218.2900,218.2500,218.2500
1787319134,218.2700,218.3000,218.2500,218.2500
1787319135,218.2500,218.2500,218.2200,218.2500
1787319136,218.2500,218.2500,218.1100,218.1800
1787319137,218.1800,218.2100,218.1400,218.1800
1787319138,218.1500,218.2200,218.1400,218.2200
1787319139,218.2000,218.2000,218.1600,218.1600
1787319140,218.1500,218.1500,218.0400,218.0700
