ts,o,h,l,c
1787578200,215.5500,215.5500,215.1000,215.1000
1787578201,215.2100,215.4800,215.0300,215.2600
1787578202,215.2300,215.2800,214.9400,214.9500
1787578203,214.9400,215.0100,214.8100,214.9100
1787578204,214.9000,215.0400,214.8100,214.9200
1787578205,214.8700,215.0300,214.8000,214.9400
1787578206,214.9300,214.9800,214.7500,214.8600
1787578207,214.8400,214.8700,214.7400,214.8000
1787578208,214.8200,214.8300,214.6900,214.7000
1787578209,214.6900,214.7100,214.6000,214.6400
1787578210,214.6400,214.6600,214.6000,214.6550
1787578211,214.6300,214.6400,214.5700,214.5900
1787578212,214.6000,214.6050,214.5200,214.5200
1787578213,214.5200,214.5700,214.5100,214.5600
1787578214,214.5400,214.5400,214.4800,214.4800
1787578215,214.4800,214.5200,214.4600,214.4600
1787578216,214.4600,214.5100,214.4600,214.4700
1787578217,214.5150,214.5600,214.4600,214.5600
1787578218,214.5650,214.5650,214.2300,214.2300
1787578219,214.2300,214.4600,214.2000,214.4100
1787578220,214.3900,214.3900,214.1800,214.2100
1787578221,214.2250,214.2250,214.0200,214.0200
1787578222,214.0300,214.0300,213.9500,213.9600
1787578223,213.9950,214.1000,213.9300,214.1000
1787578224,214.1000,214.1300,214.1000,214.1200
1787578225,214.1300,214.2900,214.0900,214.2900
1787578226,214.3100,214.3100,214.2400,214.2400
1787578227,214.2500,214.3000,214.2500,214.2700
1787578228,214.2600,214.2600,214.0500,214.2000
1787578229,214.2000,214.2000,214.1000,214.1300
1787578230,214.1700,214.1700,214.0000,214.0000
1787578231,214.0000,214.0500,213.9800,214.0500
1787578232,214.0050,214.0500,213.9600,213.9600
1787578233,214.0000,214.3700,213.9800,214.2500
1787578234,214.2800,214.3900,214.1600,214.3900
1787578235,214.4150,214.4500,214.4000,214.4150
1787578236,214.4000,214.4200,214.3800,214.4000
1787578237,214.3500,214.4500,214.3400,214.3800
1787578238,214.4700,214.5300,214.4600,214.4600
1787578239,214.5200,214.5300,214.4500,214.4800
1787578240,214.5000,214.5400,214.4800,214.4900
1787578241,214.5100,214.6400,214.5000,214.6400
1787578242,214.6300,214.6600,214.5400,214.5400
1787578243,214.4900,214.5300,214.4200,214.5300
1787578244,214.5300,214.5900,214.5000,214.5500
1787578245,214.5000,214.5000,214.4000,214.4000
1787578246,214.3900,214.4000,214.3500,214.3700
1787578247,214.3400,214.3800,214.3100,214.3800
1787578248,214.3700,214.4600,214.3700,214.4600
1787578249,214.4100,214.4200,214.3600,214.3600
1787578250,214.3500,214.3900,214.3500,214.3700
1787578251,214.3000,214.3500,214.2500,214.3200
1787578252,214.3350,214.4100,214.3350,214.3700
1787578253,214.3900,214.6000,214.3800,214.5950
1787578254,214.5500,214.6100,214.5500,214.5900
1787578255,214.5700,214.6300,214.5700,214.6000
1787578256,214.5900,214.5900,214.5400,214.5400
1787578257,214.5500,214.5500,214.5300,214.5300
1787578258,214.5200,214.5500,214.5100,214.5500
1787578259,214.5800,214.6400,214.5600,214.6000
1787578260,214.5700,214.6000,214.4600,214.4800
1787578261,214.4600,214.4600,214.2100,214.2100
1787578262,214.2600,214.5100,214.2600,214.4800
1787578263,214.5150,214.5150,214.4700,214.4700
1787578264,214.3600,214.3600,214.3000,214.3400
1787578265,214.3700,214.3950,214.2300,214.2600
1787578266,214.2800,214.3400,214.2700,214.3400
1787578267,214.3400,214.4700,214.3400,214.4000
1787578268,214.3900,214.4400,214.3500,214.3800
