ts,o,h,l,c
1788355800,578.9200,579.4100,578.6200,578.6200
1788355801,579.0500,579.0500,577.7300,578.4900
1788355802,578.7200,579.2300,578.3400,578.9900
1788355803,578.6450,579.0000,577.9900,577.9900
1788355804,577.8800,577.8800,577.0000,577.0800
1788355805,577.4400,577.5100,577.4400,577.5100
1788355806,578.0200,579.7200,578.0200,579.7200
1788355807,579.0500,579.0500,579.0500,579.0500
1788355808,578.9800,579.0500,578.9800,578.9900
1788355809,579.5200,579.5200,579.5200,579.5200
1788355810,579.5200,579.9000,579.5200,579.9000
1788355811,579.9200,580.3000,579.9200,580.0300
1788355812,580.0300,580.0300,579.5200,579.6700
1788355813,579.6300,579.8800,579.5500,579.8800
1788355814,579.3800,579.3800,579.2200,579.2200
1788355815,579.5600,579.7000,579.5600,579.7000
1788355816,579.7400,579.7400,579.7400,579.7400
1788355817,579.7400,579.7400,579.5600,579.5800
1788355818,579.7100,579.7100,579.7100,579.7100
1788355820,579.7400,580.0000,579.5600,579.9300
1788355821,579.6900,580.1600,579.6800,579.7800
1788355823,580.2000,580.7600,580.1800,580.7600
1788355824,580.8000,581.2400,580.8000,580.9200
1788355825,580.9600,580.9600,580.9600,580.9600
1788355826,580.6800,581.1600,580.6800,581.1600
1788355827,581.1600,581.1600,580.8000,580.8000
1788355828,581.1600,581.1600,581.1600,581.1600
1788355829,581.1600,581.5400,581.1600,581.3400
1788355830,581.5400,582.5500,581.5400,582.5500
1788355831,582.3300,582.4500,582.3300,582.4500
1788355832,582.5900,582.9000,582.5850,582.9000
1788355833,582.9900,583.2500,582.9900,583.2500
1788355834,582.9600,582.9600,582.9600,582.9600
1788355835,582.9600,582.9600,582.9500,582.9500
1788355837,582.9500,582.9500,582.4300,582.4300
1788355838,582.2800,582.2800,582.2800,582.2800
1788355839,582.2800,582.2800,581.7200,581.7200
1788355841,582.0300,582.1300,582.0300,582.1300
1788355842,582.5900,582.6500,582.5900,582.6500
1788355846,582.4500,582.4500,582.4500,582.4500
1788355848,582.7600,582.7600,582.7600,582.7600
1788355849,582.9000,582.9000,582.9000,582.9000
1788355850,582.9000,583.0000,582.9000,582.9700
1788355851,583.0050,583.3000,583.0050,583.1500
1788355852,583.0250,583.0250,583.0250,583.0250
1788355856,583.2900,584.0300,583.2900,584.0300
1788355857,584.0800,584.1150,583.8200,583.8200
1788355860,583.9600,584.0000,583.8500,583.8500
1788355861,583.9900,584.5300,583.9900,584.5300
1788355862,584.5900,584.5900,584.4500,584.4500
1788355863,584.4500,584.6800,584.4500,584.5400
1788355864,584.4900,584.4900,584.1700,584.1700
1788355865,584.4800,584.5700,584.4700,584.4700
1788355867,584.5800,584.9500,584.5800,584.9400
1788355868,584.9400,585.2200,584.5400,584.6250
1788355869,584.5000,585.0000,584.5000,584.9900
1788355870,585.1700,585.3100,585.1700,585.3100
1788355872,585.0200,585.4200,585.0000,585.2500
1788355873,585.3600,585.3600,585.0200,585.2600
1788355874,585.1000,585.1000,585.1000,585.1000
1788355875,585.3000,585.4400,585.1300,585.1800
1788355877,585.2000,585.4300,585.2000,585.2300
1788355878,585.2200,585.2200,584.6800,584.9300
1788355879,584.8700,584.9200,584.4900,584.9200
1788355880,584.8700,585.0000,584.8450,585.0000
1788355883,584.9700,585.3000,584.8900,585.3000
1788355884,585.2900,585.3100,585.2900,585.3100
1788355885,585.0100,585.0100,585.0000,585.0000
1788355886,584.6800,584.6800,584.5700,584.5700
1788355887,584.9000,584.9200,584.7600,584.8700
1788355889,584.8200,584.8200,584.8200,584.8200
1788355890,584.8200,586.3900,584.8100,585.4100
1788355891,585.4950,585.4950,585.3100,585.3100
