ts,o,h,l,c
1785936600,323.5700,323.5800,322.7500,322.8500
1785936601,322.8600,322.9200,321.9000,321.9000
1785936602,321.9000,322.0600,321.0000,321.1700
1785936603,321.0800,322.0100,321.0000,321.6000
1785936604,321.7400,322.0000,321.6400,321.6600
1785936605,321.6300,321.6600,321.5800,321.6600
1785936606,321.8800,321.8800,321.3400,321.5800
1785936607,321.7900,322.3200,321.7500,322.3200
1785936608,322.3100,322.3100,321.9900,321.9900
1785936609,321.8300,322.1100,321.8300,322.1100
1785936610,322.1200,322.3550,322.0900,322.3550
1785936611,322.2400,322.2500,321.6000,321.7000
1785936612,321.7000,321.8400,321.0200,321.1700
1785936613,321.2500,321.5050,321.2500,321.5050
1785936614,321.5100,321.5100,321.4100,321.4500
1785936615,321.3100,321.3100,321.2100,321.2100
1785936616,321.3800,321.3800,321.3800,321.3800
1785936617,321.4300,321.4300,321.3650,321.3650
1785936618,321.2400,321.4000,321.1900,321.4000
1785936619,321.2900,321.3000,321.1100,321.3000
1785936620,321.3500,321.9300,321.3500,321.9300
1785936622,321.9200,322.1100,321.9200,321.9300
1785936623,321.9000,321.9000,321.8750,321.8750
1785936624,321.9200,321.9200,321.9200,321.9200
1785936626,321.9200,321.9200,321.7500,321.7500
1785936627,321.7500,321.7900,321.5000,321.5200
1785936628,321.6600,321.6700,321.6100,321.6100
1785936630,321.6000,321.6000,321.4700,321.4800
1785936631,321.3700,321.7300,321.3100,321.7300
1785936632,321.7300,322.3000,321.7300,322.3000
1785936633,322.2100,322.5000,322.2100,322.5000
1785936634,322.5000,322.7500,322.4700,322.7500
1785936635,322.8700,323.0600,322.8700,322.9600
1785936636,323.0750,323.2400,322.8500,323.1800
1785936637,323.0000,323.0000,322.9900,322.9900
1785936638,323.1200,323.3000,323.1200,323.3000
1785936639,323.4000,323.4800,323.4000,323.4800
1785936640,323.3300,323.4600,323.2600,323.3000
1785936641,323.2900,323.2900,323.2900,323.2900
1785936642,323.2900,323.3700,323.2100,323.2100
1785936644,323.0900,323.0900,323.0900,323.0900
1785936645,322.9300,322.9300,322.8800,322.8800
1785936646,323.1600,323.1600,322.8800,322.8800
1785936647,322.8800,322.9500,322.8400,322.9100
1785936648,323.0600,323.0600,323.0600,323.0600
1785936649,322.8400,322.8400,322.6700,322.6700
1785936650,322.8500,322.9900,322.8500,322.9900
1785936651,322.9900,323.0600,322.9900,323.0600
1785936652,323.0600,323.0600,323.0500,323.0500
1785936653,322.9800,322.9800,322.9800,322.9800
1785936655,323.0600,323.0600,322.6800,322.6800
1785936656,322.9100,322.9100,322.9100,322.9100
1785936657,322.7300,322.9500,322.7300,322.8200
1785936658,322.8400,322.8800,322.7300,322.8800
1785936659,322.8900,322.9400,322.8900,322.9400
1785936660,322.9400,323.0000,322.9400,323.0000
1785936661,322.9100,322.9100,322.7300,322.8300
1785936662,322.6700,322.6700,322.5500,322.5700
1785936663,322.5700,322.8700,322.5700,322.6900
1785936664,322.6900,322.6900,322.4000,322.4500
1785936665,322.3700,322.3700,322.1100,322.2300
1785936667,322.2200,322.2200,322.2200,322.2200
1785936668,322.3400,322.4000,322.3400,322.4000
1785936670,322.1500,322.1500,321.7100,321.9300
1785936671,322.0300,322.1250,321.9800,321.9800
1785936672,321.8100,321.8100,321.7200,321.7200
1785936673,321.7100,321.9000,321.6300,321.9000
1785936675,321.7000,321.7800,321.6700,321.6900
1785936676,321.6700,321.8700,321.6700,321.8700
1785936677,321.8900,321.8900,321.8900,321.8900
1785936678,321.6400,321.6400,321.5000,321.6400
1785936679,321.6400,321.7600,321.6400,321.7600
1785936680,321.6400,321.6400,321.4700,321.4700
1785936681,321.3900,321.7300,320.8100,321.6250
1785936682,321.6200,321.6900,321.5800,321.6900
1785936683,321.7400,321.7800,321.6600,321.7600
1785936685,321.6600,321.7000,321.6600,321.7000
1785936686,321.7800,321.7800,321.7800,321.7800
1785936687,321.7100,321.7100,321.4500,321.5300
1785936688,321.6000,321.6600,321.5850,321.5850
1785936690,321.5000,321.5000,321.4400,321.4600
1785936691,321.5300,321.5300,321.5300,321.5300
1785936692,321.5000,321.5000,321.1000,321.1000
1785936695,321.1200,321.1300,321.0000,321.1000
1785936696,320.8900,320.8900,320.7900,320.7900
1785936697,320.7700,320.7700,320.4200,320.5700
