ts,o,h,l,c
1787578200,549.9200,550.5000,549.6100,550.3700
1787578201,550.1000,550.5000,549.6200,550.3600
1787578202,550.2900,551.0000,549.6500,550.4200
1787578203,550.0700,550.4500,549.5500,549.7600
1787578204,549.8450,550.7550,549.3300,550.7550
1787578205,550.4200,551.1600,550.3800,550.8900
1787578206,550.8700,551.3400,550.7700,550.8200
1787578207,551.2900,552.1100,551.0700,552.1100
1787578208,552.1100,552.4900,552.1100,552.2000
1787578209,552.1900,552.1900,552.1900,552.1900
1787578210,552.1000,552.2900,552.0800,552.2200
1787578211,552.1900,552.1900,552.1900,552.1900
1787578212,552.1200,552.1200,551.9700,551.9700
1787578213,551.7400,551.7400,551.4650,551.4650
1787578215,551.6500,551.8400,551.5650,551.5650
1787578216,551.7100,551.7200,551.7100,551.7200
1787578217,552.0300,552.0300,552.0300,552.0300
1787578218,552.2250,552.2250,552.2250,552.2250
1787578219,552.2300,552.2300,551.7000,551.7000
1787578220,551.8900,552.0300,551.3500,552.0300
1787578221,551.8100,551.8100,551.8100,551.8100
1787578222,551.8200,552.0000,551.7400,551.7400
1787578223,551.9900,552.3300,551.9900,552.3300
1787578224,552.0400,552.3300,551.8600,552.3300
1787578227,552.2900,552.4800,552.0900,552.4100
1787578229,552.4200,552.4800,552.4200,552.4800
1787578230,552.4800,552.5000,551.8700,551.9100
1787578233,551.8550,551.8600,551.8550,551.8600
1787578234,552.0000,552.0000,552.0000,552.0000
1787578236,551.8200,551.8200,551.8200,551.8200
1787578237,551.8200,551.8200,551.8200,551.8200
1787578238,551.8150,551.8150,551.4800,551.4900
1787578241,551.4500,551.4500,551.4500,551.4500
1787578242,551.4400,551.4900,551.2200,551.2200
1787578243,551.2100,551.2800,551.2100,551.2800
1787578246,551.2600,551.3600,550.9300,551.3600
1787578247,551.1950,551.1950,551.1950,551.1950
1787578248,551.4400,551.4400,551.4400,551.4400
1787578249,551.2750,551.2750,551.2750,551.2750
1787578250,551.0800,551.0800,550.9000,550.9100
1787578251,550.8600,551.1500,550.8600,551.1500
1787578252,551.1850,551.1850,551.0200,551.0200
1787578253,551.1750,551.1750,551.0300,551.0300
1787578254,550.9900,550.9900,550.9900,550.9900
1787578256,551.1800,551.1800,551.1800,551.1800
1787578257,551.1650,551.1650,551.1650,551.1650
1787578258,551.2400,551.2400,551.2400,551.2400
1787578260,551.2500,551.5000,551.1700,551.1950
1787578261,551.2000,551.2000,551.1850,551.1850
1787578262,551.1800,551.1850,550.7100,550.7100
1787578265,551.0000,551.2000,551.0000,551.1900
1787578266,551.0000,551.0100,550.8300,550.8300
1787578267,550.6700,550.6700,550.2500,550.5500
1787578269,550.5500,550.5500,550.4500,550.4500
1787578270,550.2400,550.2400,549.6600,549.7800
1787578272,549.9100,550.0000,549.4000,549.5400
1787578276,549.2800,549.4100,549.0000,549.4100
1787578278,549.6000,549.6000,549.5250,549.5250
1787578279,549.4450,549.4450,549.3700,549.3700
1787578280,549.3700,549.3700,549.3700,549.3700
1787578281,549.3700,549.3700,549.3700,549.3700
1787578283,549.2400,549.2400,549.1700,549.1700
1787578284,549.4000,549.4350,549.4000,549.4350
1787578285,549.5500,550.3700,549.5500,550.3500
1787578289,549.8400,549.8400,549.8400,549.8400
1787578293,550.2900,550.3050,549.9400,550.2600
1787578294,550.0100,550.0100,550.0000,550.0100
1787578295,550.0000,550.0350,549.8200,549.8200
1787578296,550.3000,550.3000,550.3000,550.3000
1787578298,550.0200,550.2200,549.9900,549.9900
1787578299,549.7300,549.7300,549.7300,549.7300
1787578300,549.8700,549.8700,549.8300,549.8300
1787578306,550.2500,550.2600,550.1600,550.1600
1787578307,550.2500,550.2500,550.2400,550.2400
1787578308,549.9000,550.0400,549.9000,550.0400
1787578309,549.9900,549.9900,549.5000,549.5000
1787578311,549.3200,549.3200,549.3000,549.3000
1787578313,549.5400,549.5400,549.5400,549.5400
1787578315,549.7400,549.7400,549.7400,549.7400
1787578320,549.8900,550.0950,549.8900,550.0950
1787578321,550.0000,550.5800,550.0000,550.5800
1787578322,550.7000,550.7000,550.4250,550.5700
1787578323,550.4900,550.7000,550.4900,550.7000
1787578327,550.4700,550.7100,550.4700,550.7100
1787578328,550.4800,550.6800,550.4800,550.6800
1787578331,550.3900,550.3900,550.3900,550.3900
1787578334,550.4650,550.4650,550.4650,550.4650
1787578337,550.2000,550.5000,549.9900,550.4900
1787578338,550.4400,550.4400,550.3900,550.3900
1787578340,550.2800,550.4800,550.1700,550.1700
1787578343,550.3100,550.4000,550.2700,550.3100
1787578344,550.2900,550.4000,550.2900,550.3500
1787578345,550.4600,550.5300,550.4600,550.5000
1787578347,550.5000,550.5000,550.3300,550.4900
1787578348,550.3800,550.3900,550.3800,550.3900
1787578349,550.4900,550.4900,550.3800,550.3800
1787578350,550.4200,550.5300,550.4200,550.5000
1787578355,550.6000,550.7600,550.6000,550.7600
1787578357,550.6300,550.6300,550.6300,550.6300
1787578359,550.6300,550.6300,550.6300,550.6300
1787578363,550.6400,550.6400,550.6400,550.6400
1787578365,550.6400,550.6400,550.6400,550.6400
1787578366,550.8400,550.8500,550.8400,550.8500
1787578367,550.8600,550.8700,550.7600,550.8700
1787578368,550.8600,550.8800,550.7800,550.8400
1787578369,550.7100,550.7100,550.7100,550.7100
1787578370,550.6800,550.6800,550.6700,550.6700
1787578373,550.6800,550.6800,550.6800,550.6800
1787578377,550.7150,550.7150,549.8600,549.8600
1787578378,549.7400,549.7400,549.7250,549.7250
1787578380,550.0000,550.0200,549.8300,549.8300
1787578381,549.6500,549.6500,549.5900,549.5900
1787578383,549.5700,549.5700,549.4000,549.4000
1787578384,549.3000,549.3000,549.2000,549.2600
1787578386,549.0200,549.0200,549.0200,549.0200
1787578388,549.2050,549.2050,549.2050,549.2050
