ts,o,h,l,c
1788269544,316.2500,316.2500,316.2500,316.2500
1788269545,316.2600,316.2600,316.2600,316.2600
1788269547,316.2550,316.3200,316.2300,316.3200
1788269549,316.3500,316.3500,316.2900,316.2900
1788269551,316.2700,316.2700,316.1900,316.2000
1788269552,316.1300,316.1300,316.0900,316.1000
1788269553,316.1100,316.1300,316.0900,316.0900
1788269554,316.1000,316.1000,316.1000,316.1000
1788269555,316.1000,316.1000,316.0600,316.0600
1788269557,316.0500,316.0500,316.0500,316.0500
1788269560,316.0300,316.1700,316.0300,316.1250
1788269561,316.0900,316.0900,316.0500,316.0500
1788269563,316.0400,316.0400,316.0400,316.0400
1788269564,316.0800,316.2000,316.0800,316.1900
1788269565,316.1600,316.1650,316.1000,316.1000
1788269566,316.1450,316.1450,316.1400,316.1400
1788269570,316.1700,316.1700,316.1700,316.1700
1788269571,316.1650,316.2000,316.1650,316.2000
1788269572,316.1650,316.1650,316.0300,316.0300
1788269573,316.0000,316.0000,315.9800,315.9800
1788269574,315.8600,315.8600,315.6600,315.7000
1788269576,315.6650,315.7000,315.6650,315.6700
1788269577,315.6500,315.6500,315.5200,315.5200
1788269578,315.5500,315.6000,315.5500,315.6000
1788269579,315.5600,315.5600,315.5600,315.5600
1788269580,315.5000,315.5600,315.2200,315.2600
1788269581,315.2450,315.2450,315.2200,315.2200
1788269582,315.2000,315.2000,315.1400,315.1900
1788269583,315.2800,315.2800,315.2200,315.2200
1788269585,315.2400,315.3800,315.2400,315.3300
1788269586,315.3250,315.3250,315.3250,315.3250
1788269587,315.3250,315.3250,315.2500,315.3100
1788269588,315.3400,315.5700,315.3400,315.5200
1788269589,315.5200,315.5200,315.4800,315.4800
1788269590,315.4800,315.4800,315.4800,315.4800
1788269591,315.4200,315.4200,315.4200,315.4200
1788269592,315.4800,315.5050,315.4800,315.5050
1788269594,315.4700,315.4700,315.4400,315.4400
1788269595,315.4600,315.5250,315.4600,315.5000
1788269596,315.5400,315.5400,315.4600,315.5050
1788269597,315.5300,315.5500,315.5100,315.5100
1788269598,315.4800,315.5200,315.3600,315.5200
1788269599,315.5900,315.5900,315.5100,315.5100
1788269600,315.5200,315.5200,315.5200,315.5200
1788269602,315.5200,315.5600,315.5200,315.5600
1788269603,315.5500,315.5600,315.5500,315.5600
1788269604,315.5600,315.5600,315.5550,315.5550
