ts,o,h,l,c
1787664600,211.0100,211.0100,210.4900,210.4900
1787664601,210.4700,210.8000,210.4600,210.6500
1787664602,210.6800,210.7300,210.5800,210.5800
1787664603,210.5700,210.6000,210.3900,210.5500
1787664604,210.5300,210.7600,210.4900,210.7200
1787664605,210.7100,210.9000,210.6900,210.8800
1787664606,210.8500,210.9200,210.7900,210.8600
1787664607,210.8600,210.9300,210.6300,210.7300
1787664608,210.6800,210.6900,210.6400,210.6800
1787664609,210.6700,210.7100,210.6200,210.6200
1787664610,210.6000,210.6000,210.4600,210.5000
1787664611,210.5400,210.5500,210.4900,210.5200
1787664612,210.5600,210.6100,210.5300,210.5600
1787664613,210.5200,210.5800,210.5000,210.5500
1787664614,210.5400,210.5800,210.5100,210.5800
1787664615,210.5700,210.6800,210.5500,210.6800
1787664616,210.7100,210.8100,210.7000,210.8100
1787664617,210.7900,210.8700,210.7700,210.8700
1787664618,210.8300,210.8300,210.6900,210.7050
1787664619,210.7200,210.7200,210.6700,210.6700
1787664620,210.6700,210.6900,210.5700,210.5700
1787664621,210.5700,210.6500,210.5700,210.6500
1787664622,210.6900,210.6900,210.6600,210.6600
1787664623,210.6400,210.6400,210.6100,210.6100
1787664624,210.6700,210.7200,210.6700,210.6700
1787664625,210.6900,210.7200,210.6900,210.7200
1787664626,210.7200,210.7200,210.6700,210.6900
1787664627,210.7000,210.8100,210.7000,210.7700
1787664628,210.7400,210.7400,210.6700,210.6900
1787664629,210.6900,210.7200,210.5800,210.5900
1787664630,210.5800,210.5900,210.5500,210.5900
1787664631,210.6000,210.6100,210.6000,210.6100
1787664632,210.6100,210.6800,210.6100,210.6750
1787664633,210.6700,210.7050,210.6400,210.7050
1787664634,210.7100,210.7100,210.7050,210.7050
1787664635,210.6950,210.8300,210.6900,210.8300
1787664636,210.8300,210.8300,210.5900,210.6200
1787664637,210.5900,210.6400,210.5800,210.6200
1787664638,210.6200,210.6200,210.5900,210.6000
1787664639,210.6100,210.7100,210.6100,210.6600
1787664640,210.6500,210.6800,210.5000,210.5000
1787664641,210.5100,210.5900,210.4800,210.5200
1787664642,210.5400,210.5700,210.5400,210.5700
1787664643,210.5800,210.6200,210.5500,210.6200
1787664644,210.6050,210.6500,210.6000,210.6500
1787664645,210.6100,210.6200,210.5900,210.6100
1787664646,210.6300,210.6400,210.5700,210.5800
1787664647,210.5800,210.5800,210.5200,210.5500
1787664648,210.5400,210.5400,210.4800,210.5000
1787664649,210.4900,210.5050,210.4600,210.5050
1787664650,210.5400,210.6000,210.5400,210.6000
1787664651,210.6100,210.7100,210.5800,210.6700
1787664652,210.6400,210.6800,210.5900,210.6400
1787664653,210.6600,210.6900,210.6600,210.6600
1787664654,210.6400,210.6700,210.6200,210.6700
1787664655,210.6300,210.6600,210.6300,210.6300
1787664656,210.6300,210.6300,210.5900,210.6000
1787664657,210.6000,210.6300,210.5700,210.6100
1787664658,210.6000,210.6200,210.5400,210.5400
1787664659,210.5300,210.5600,210.5100,210.5350
1787664660,210.5400,210.5500,210.3600,210.3900
1787664661,210.3850,210.4700,210.3700,210.4100
1787664662,210.4400,210.4500,210.3900,210.4100
1787664663,210.4200,210.6200,210.4200,210.5700
1787664664,210.5800,210.6100,210.4600,210.5000
1787664665,210.4800,210.5700,210.4400,210.5200
1787664666,210.5600,210.5800,210.5100,210.5700
1787664667,210.5700,210.5700,210.5300,210.5400
1787664668,210.5600,210.6200,210.5600,210.6200
1787664669,210.6300,210.6400,210.6000,210.6000
1787664670,210.6200,210.6200,210.5700,210.5700
1787664671,210.5700,210.5900,210.5500,210.5700
1787664672,210.5900,210.6300,210.5300,210.5300
1787664673,210.5500,210.6100,210.5400,210.6100
1787664674,210.6150,210.6900,210.6100,210.6600
1787664675,210.6800,210.6900,210.6500,210.6550
1787664676,210.6800,210.7600,210.6800,210.7500
1787664677,210.7200,210.7200,210.7000,210.7000
1787664678,210.6850,210.7500,210.6850,210.7200
1787664679,210.7200,210.7200,210.6800,210.6800
1787664680,210.6800,210.7700,210.6800,210.7600
1787664681,210.7400,210.7700,210.7300,210.7300
1787664682,210.7300,210.8000,210.7300,210.7700
1787664683,210.7600,210.7600,210.5900,210.6000
1787664684,210.5900,210.5900,210.5200,210.5400
1787664685,210.5600,210.6500,210.5600,210.6400
1787664686,210.6400,210.6500,210.6100,210.6100
1787664687,210.5800,210.5800,210.5100,210.5400
1787664688,210.5100,210.5800,210.5000,210.5800
1787664689,210.5500,210.6200,210.5200,210.5400
1787664690,210.5300,210.5600,210.5300,210.5600
1787664691,210.5300,210.5300,210.1100,210.3200
1787664692,210.3200,210.3200,210.2700,210.2700
1787664693,210.2600,210.2700,210.2300,210.2700
1787664694,210.2500,210.2900,210.2500,210.2900
1787664695,210.2700,210.2700,210.2200,210.2300
1787664696,210.2100,210.2800,210.1800,210.2800
1787664697,210.2900,210.2900,210.2200,210.2200
1787664698,210.2200,210.3100,210.2100,210.3100
1787664699,210.3150,210.3300,210.3100,210.3300
1787664700,210.3100,210.3700,210.3100,210.3500
1787664701,210.3550,210.3550,210.3300,210.3300
1787664702,210.3400,210.3900,210.2700,210.2700
1787664703,210.2600,210.2600,210.2100,210.2200
1787664704,210.2400,210.2500,210.2100,210.2200
1787664705,210.1900,210.1900,210.1350,210.1600
1787664706,210.1300,210.2100,210.1200,210.1500
1787664707,210.1700,210.2400,210.1700,210.2400
1787664708,210.2700,210.2800,210.2500,210.2800
1787664710,210.2600,210.4000,210.2600,210.3700
1787664711,210.3900,210.4450,210.3900,210.4000
1787664712,210.4200,210.4300,210.4200,210.4200
1787664714,210.4300,210.4600,210.4300,210.4600
1787664715,210.4600,210.5000,210.4600,210.4900
1787664716,210.5200,210.5200,210.4900,210.4900
1787664717,210.5000,210.5000,210.4300,210.4300
1787664718,210.4200,210.4200,210.3700,210.3900
1787664719,210.4000,210.4300,210.4000,210.4200
1787664720,210.4100,210.5500,210.3950,210.5500
1787664721,210.5700,210.6200,210.5700,210.6200
1787664722,210.6300,210.6800,210.6300,210.6600
1787664723,210.6900,210.8000,210.6800,210.8000
1787664724,210.7900,210.7900,210.7500,210.7700
1787664725,210.7600,210.8000,210.7600,210.7800
1787664726,210.7600,210.7700,210.7100,210.7700
1787664727,210.7800,210.8000,210.7400,210.7400
1787664728,210.7200,210.8000,210.7200,210.8000
1787664729,210.7900,210.8000,210.7350,210.7600
1787664730,210.7700,210.7800,210.7700,210.7800
1787664731,210.7750,210.8000,210.7700,210.8000
1787664732,210.8000,210.8000,210.7900,210.8000
1787664733,210.8000,210.8100,210.7800,210.8000
1787664734,210.8100,210.9600,210.8100,210.8600
1787664735,210.9000,210.9900,210.9000,210.9900
1787664736,210.9900,210.9900,210.9600,210.9800
1787664737,210.9500,210.9700,210.9300,210.9300
1787664738,210.9600,210.9600,210.9600,210.9600
1787664739,210.9600,210.9700,210.9500,210.9500
1787664740,210.9500,211.0100,210.9500,210.9900
1787664741,211.0100,211.0100,210.9600,210.9600
1787664742,210.9800,210.9800,210.9500,210.9500
1787664743,210.9400,210.9400,210.8900,210.9300
1787664744,210.9500,210.9700,210.9500,210.9700
1787664745,210.9500,210.9600,210.9300,210.9300
1787664746,210.9450,210.9700,210.8400,210.8400
1787664747,210.8200,210.8200,210.7800,210.8200
1787664748,210.8300,210.8300,210.8100,210.8100
1787664749,210.8100,210.8800,210.8100,210.8800
1787664750,210.8300,210.8400,210.8200,210.8200
1787664751,210.8000,210.8000,210.7500,210.7500
1787664752,210.7700,210.8200,210.7700,210.7900
1787664753,210.8100,210.8600,210.7200,210.7300
1787664754,210.7700,210.7800,210.7600,210.7800
1787664755,210.7800,210.8200,210.7800,210.8200
1787664756,210.8150,210.8400,210.8100,210.8400
1787664757,210.8100,210.8200,210.7400,210.7400
1787664758,210.7500,210.8000,210.7500,210.8000
1787664759,210.7800,210.7800,210.7700,210.7700
1787664760,210.7800,210.7900,210.7300,210.7400
1787664761,210.7250,210.7250,210.6400,210.6700
1787664762,210.6700,210.6800,210.6100,210.6200
1787664763,210.6800,210.8500,210.6600,210.8500
1787664764,210.8500,210.8500,210.7900,210.8300
1787664765,210.8300,210.8300,210.7850,210.8100
1787664766,210.8500,210.8600,210.8500,210.8600
1787664767,210.8700,210.9000,210.8400,210.8400
1787664768,210.8200,210.8200,210.7950,210.8200
1787664769,210.8000,210.8800,210.7400,210.8400
1787664770,210.8200,210.8200,210.8000,210.8200
1787664771,210.8300,210.8500,210.7800,210.8500
1787664772,210.8500,210.9200,210.8500,210.9200
1787664773,210.9150,210.9300,210.9000,210.9000
1787664774,210.9100,210.9100,210.8700,210.8800
1787664775,210.8800,210.9000,210.8700,210.8700
1787664776,210.8800,210.8800,210.8800,210.8800
1787664777,210.8600,210.8650,210.8200,210.8200
1787664778,210.8100,210.8400,210.8100,210.8400
1787664779,210.8600,210.8600,210.8200,210.8200
1787664780,210.8200,210.8300,210.8200,210.8300
1787664781,210.8000,210.8700,210.7800,210.8700
1787664782,210.8600,210.8600,210.8300,210.8300
1787664783,210.8400,210.8800,210.8400,210.8500
1787664784,210.8500,210.9200,210.8500,210.9000
1787664785,210.8800,210.8800,210.8400,210.8500
1787664786,210.8300,210.8400,210.8300,210.8400
1787664787,210.8300,210.8300,210.7900,210.7900
1787664788,210.8000,210.8100,210.7900,210.8100
1787664789,210.8000,210.8000,210.7400,210.7400
1787664790,210.7400,210.7400,210.6700,210.6700
1787664791,210.6700,210.6900,210.6600,210.6600
1787664792,210.6600,210.7000,210.6600,210.6800
1787664793,210.6700,210.6700,210.5300,210.5700
1787664794,210.5800,210.6300,210.5700,210.6000
1787664795,210.6200,210.6200,210.6200,210.6200
1787664796,210.6200,210.6800,210.6200,210.6500
1787664797,210.6400,210.6400,210.6400,210.6400
1787664798,210.6600,210.6800,210.6400,210.6700
1787664799,210.6400,210.6400,210.6400,210.6400
1787664800,210.6100,210.6100,210.6100,210.6100
