date,time,kind,occ,symbol,qty,our_bid,actual_fill,improvement,status,bid_at_read,ask_at_read,quote_gap_s,why,slack_0_cross,slack_0_entry,slack_0_pl,slack_2_cross,slack_2_entry,slack_2_pl,slack_3_cross,slack_3_entry,slack_3_pl,slack_5_cross,slack_5_entry,slack_5_pl,slack_7.5_cross,slack_7.5_entry,slack_7.5_pl,slack_10_cross,slack_10_entry,slack_10_pl
2026-08-25,11:38:47,fill,TSLA260828P00352500,TSLA,1,5.98,5.85,13,scored,5.75,5.85,0,,True,5.85,-0,True,5.85,-0,True,5.85,-0,True,5.85,-0,True,5.85,-0,True,5.85,-0
2026-08-25,13:27:10,fill,SLV260918C00062500,SLV,1,2.79,2.73,6,unscored,,,,no tape ever quoted this contract,,,,,,,,,,,,,,,,,,
2026-08-25,13:39:09,fill,SPCX260904C00139000,SPCX,1,5.26,5.15,11,unscored,,,,no recorded bid/ask within 90s of the order,,,,,,,,,,,,,,,,,,
2026-08-25,14:03:05,fill,SMR260904C00010000,SMR,1,0.57,0.55,2,scored,0.50,0.55,0,,True,0.55,-0,True,0.55,-0,True,0.55,-0,True,0.55,-0,True,0.55,-0,True,0.55,-0
2026-08-25,15:59:39,fill,CDE260918C00022000,CDE,1,1.39,1.35,4,unscored,,,,no tape ever quoted this contract,,,,,,,,,,,,,,,,,,
2026-08-26,09:47:45,fill,TSLA260828P00350000,TSLA,1,5.26,5.15,11,scored,5.00,5.15,0,,True,5.15,-0,True,5.15,-0,True,5.15,-0,True,5.15,-0,True,5.15,-0,True,5.15,-0
2026-08-31,14:46:10,fill,IWM260831P00293000,IWM,1,0.22,0.20,2,unscored,,,,no tape ever quoted this contract,,,,,,,,,,,,,,,,,,
2026-08-31,15:59:16,fill,S260918C00022500,S,1,0.93,0.85,8,scored,0.75,0.85,1,,True,0.85,-0,True,0.85,-0,True,0.85,-0,True,0.85,-0,True,0.85,-0,True,0.85,-0
2026-09-01,10:44:40,fill,SPY260901P00764000,SPY,1,1.00,0.96,4,scored,0.95,0.96,0,,True,0.96,-0,True,0.96,-0,True,0.96,-0,True,0.96,-0,True,0.96,-0,True,0.96,-0
2026-09-01,12:13:17,fill,SPY260901C00764000,SPY,1,0.78,0.73,5,scored,0.72,0.73,0,,True,0.73,-0,True,0.73,-0,True,0.73,-0,True,0.73,-0,True,0.73,-0,True,0.73,-0
2026-09-01,15:58:07,fill,FLR260918C00057500,FLR,1,1.64,1.64,0,scored,1.60,1.65,0,,False,1.64,-0,True,1.65,-1,True,1.65,-1,True,1.65,-1,True,1.65,-1,True,1.65,-1
